IDLOG,IDTRACKER,IDSTATUS,APLC_SEQ_NO,PROC_PGRS_SEQ_NO,APLC_STATUS,APLC_AUTH,DATA_CHNG_DTTM
18550,8036,70,12004229886,3,Approval Completed,Approved,03/10/2023 22:22
18551,8036,70,12004229886,4,Approval Completed,Approved,03/11/2023 0:55
18552,8037,10,12004229893,1,DOC Registration,Approved,03/02/2023 8:54
18553,8037,15,12004229893,1,Quality Assurance (QAM),Approved,03/02/2023 9:56
18554,8037,20,12004229893,1,Data Entry,Approved,03/02/2023 16:09
18555,8037,30,12004229893,1,B/L Check,Approved,03/02/2023 16:09
18556,8037,40,12004229893,1,Application Check,Approved,03/02/2023 16:13
18557,8037,50,12004229893,1,Merchant Analyst,Approved,03/05/2023 18:29
18558,8037,61,12004229893,1,Member Bank Apprval 1,Approved,03/10/2023 22:23
18559,8037,70,12004229893,1,Approval Completed,Approved,03/06/2023 9:10
18560,8037,61,12004229893,2,Member Bank Apprval 1,Approved,03/11/2023 0:55
18561,8037,70,12004229893,2,Approval Completed,Approved,03/10/2023 20:51
18562,8037,61,12004229893,3,Member Bank Apprval 1,Approved,03/06/2023 9:10
18563,8037,70,12004229893,3,Approval Completed,Approved,03/10/2023 22:23
18564,8037,70,12004229893,4,Approval Completed,Approved,03/11/2023 0:55
18565,6574,10,12003251608,1,DOC Registration,Approved,01/25/2023 8:37
18566,6574,15,12003251608,1,Quality Assurance (QAM),Approved,01/25/2023 8:45
18567,6574,20,12003251608,1,Data Entry,Approved,01/25/2023 14:28
18568,6574,30,12003251608,1,B/L Check,Approved,01/25/2023 14:28
18569,6574,40,12003251608,1,Application Check,Approved,01/25/2023 16:28
18570,6574,50,12003251608,1,Merchant Analyst,Approved,01/29/2023 18:06
18571,6574,61,12003251608,1,Member Bank Apprval 1,Approved,02/01/2023 17:16
18572,6574,70,12003251608,1,Approval Completed,Approved,02/22/2023 16:50
18573,6574,61,12003251608,2,Member Bank Apprval 1,Approved,02/01/2023 16:24
18574,6574,70,12003251608,2,Approval Completed,Approved,02/22/2023 16:50
18575,6574,61,12003251608,3,Member Bank Apprval 1,Approved,01/30/2023 8:21
18576,6574,70,12003251608,3,Approval Completed,Approved,02/22/2023 16:50
18577,6574,70,12003251608,4,Approval Completed,Approved,02/22/2023 16:50
18580,6575,15,12003251614,1,Quality Assurance (QAM),Approved,01/25/2023 8:45
18581,6575,20,12003251614,1,Data Entry,Approved,01/25/2023 14:42
18582,6575,30,12003251614,1,B/L Check,Approved,01/25/2023 14:42
18583,6575,40,12003251614,1,Application Check,Approved,01/25/2023 14:58
18584,6575,50,12003251614,1,Merchant Analyst,Approved,01/27/2023 11:18
18585,6575,61,12003251614,1,Member Bank Apprval 1,Approved,02/01/2023 17:02
18586,6575,70,12003251614,1,Approval Completed,Approved,02/20/2023 15:41
18587,6575,61,12003251614,2,Member Bank Apprval 1,Approved,02/01/2023 16:01
18588,6575,70,12003251614,2,Approval Completed,Approved,02/20/2023 15:41
18589,6575,61,12003251614,3,Member Bank Apprval 1,Approved,01/30/2023 8:21
19306,7052,70,12003435744,3,Approval Completed,Approved,03/10/2023 22:23
19307,7052,70,12003435744,4,Approval Completed,Approved,03/11/2023 0:55
19308,7053,10,12003435747,1,DOC Registration,Approved,02/01/2023 15:19
19309,7053,15,12003435747,1,Quality Assurance (QAM),Approved,02/01/2023 15:20
19310,7053,20,12003435747,1,Data Entry,Approved,02/02/2023 13:23
19311,7053,30,12003435747,1,B/L Check,Approved,02/02/2023 13:23
19312,7053,40,12003435747,1,Application Check,Approved,02/02/2023 15:12
19313,7053,61,12003435747,1,Member Bank Apprval 1,Approved,02/03/2023 8:16
19314,7053,70,12003435747,1,Approval Completed,Approved,02/04/2023 15:35
19315,7053,70,12003435747,2,Approval Completed,,02/04/2023 15:35
19316,7055,10,12003435750,1,DOC Registration,Approved,02/01/2023 15:21
19317,7055,15,12003435750,1,Quality Assurance (QAM),Approved,02/01/2023 15:51
19318,7055,20,12003435750,1,Data Entry,Approved,02/02/2023 13:55
19319,7055,30,12003435750,1,B/L Check,Approved,02/02/2023 13:55
19320,7055,40,12003435750,1,Application Check,Approved,02/02/2023 15:36
19321,7055,50,12003435750,1,Merchant Analyst,Approved,02/04/2023 21:59
19322,7055,61,12003435750,1,Member Bank Apprval 1,Approved,03/06/2023 18:47
19323,7055,70,12003435750,1,Approval Completed,Approved,02/06/2023 8:46
19324,7055,61,12003435750,2,Member Bank Apprval 1,Approved,03/06/2023 17:26
19325,7055,70,12003435750,2,Approval Completed,Approved,03/06/2023 15:52
19326,7055,61,12003435750,3,Member Bank Apprval 1,Approved,02/06/2023 8:46
19327,7055,70,12003435750,3,Approval Completed,Approved,03/06/2023 17:26
19328,7055,70,12003435750,4,Approval Completed,Approved,03/06/2023 18:47
19329,7056,10,12003435751,1,DOC Registration,Approved,02/01/2023 15:21
19330,7056,15,12003435751,1,Quality Assurance (QAM),Approved,02/01/2023 15:21
19331,7056,20,12003435751,1,Data Entry,Approved,02/02/2023 8:49
19332,7056,30,12003435751,1,B/L Check,Approved,02/02/2023 8:49
19333,7056,40,12003435751,1,Application Check,Approved,02/02/2023 15:12
19334,7056,61,12003435751,1,Member Bank Apprval 1,Approved,02/03/2023 8:16
19335,7056,70,12003435751,1,Approval Completed,Approved,02/04/2023 17:54
19336,7056,70,12003435751,2,Approval Completed,,02/04/2023 17:54
19337,7057,10,12003435753,1,DOC Registration,Approved,02/01/2023 15:22
19338,7057,15,12003435753,1,Quality Assurance (QAM),Approved,02/01/2023 15:50
19339,7057,20,12003435753,1,Data Entry,Approved,02/02/2023 12:26
19340,7057,30,12003435753,1,B/L Check,Approved,02/02/2023 12:26
19341,7057,40,12003435753,1,Application Check,Approved,02/02/2023 13:51
19342,7057,50,12003435753,1,Merchant Analyst,Approved,02/02/2023 19:23
19343,7057,61,12003435753,1,Member Bank Apprval 1,Approved,03/06/2023 18:47
19344,7057,70,12003435753,1,Approval Completed,Approved,02/06/2023 8:46
19345,7057,61,12003435753,2,Member Bank Apprval 1,Approved,03/06/2023 17:26
19346,7057,70,12003435753,2,Approval Completed,Approved,03/06/2023 15:52
19347,7057,61,12003435753,3,Member Bank Apprval 1,Approved,02/06/2023 8:46
19348,7057,70,12003435753,3,Approval Completed,Approved,03/06/2023 17:26
19349,7057,70,12003435753,4,Approval Completed,Approved,03/06/2023 18:47
19350,7058,10,12003435755,1,DOC Registration,Approved,02/01/2023 15:24
19351,7058,15,12003435755,1,Quality Assurance (QAM),Approved,02/01/2023 15:49
19352,7058,20,12003435755,1,Data Entry,Approved,02/02/2023 11:22
19353,7058,30,12003435755,1,B/L Check,Approved,02/02/2023 11:22
19354,7058,40,12003435755,1,Application Check,Approved,02/02/2023 15:04
19355,7058,50,12003435755,1,Merchant Analyst,Approved,02/03/2023 10:10
19356,7058,61,12003435755,1,Member Bank Apprval 1,Approved,03/06/2023 18:47
19357,7058,70,12003435755,1,Approval Completed,Approved,02/06/2023 8:46
19358,7058,61,12003435755,2,Member Bank Apprval 1,Approved,03/06/2023 17:26
19359,7058,70,12003435755,2,Approval Completed,Approved,03/06/2023 15:52
19360,7058,61,12003435755,3,Member Bank Apprval 1,Approved,02/06/2023 8:46
19361,7058,70,12003435755,3,Approval Completed,Approved,03/06/2023 17:26
19362,7058,70,12003435755,4,Approval Completed,Approved,03/06/2023 18:47
19363,7059,10,12003435756,1,DOC Registration,Approved,02/01/2023 15:25
19364,7059,15,12003435756,1,Quality Assurance (QAM),Approved,02/01/2023 15:25
19365,7059,20,12003435756,1,Data Entry,Approved,02/02/2023 9:44
19366,7059,30,12003435756,1,B/L Check,Approved,02/02/2023 9:44
19367,7059,40,12003435756,1,Application Check,Approved,02/02/2023 12:04
19368,7059,61,12003435756,1,Member Bank Apprval 1,Approved,02/02/2023 13:11
19369,7059,70,12003435756,1,Approval Completed,Approved,02/07/2023 13:21
19370,7059,70,12003435756,2,Approval Completed,,02/07/2023 13:21
19371,7063,10,12003435767,1,DOC Registration,Approved,02/01/2023 15:36
19372,7063,15,12003435767,1,Quality Assurance (QAM),Approved,02/01/2023 15:36
19373,7063,20,12003435767,1,Data Entry,Approved,02/02/2023 7:09
19374,7063,30,12003435767,1,B/L Check,Approved,02/02/2023 7:09
19375,7063,40,12003435767,1,Application Check,Approved,02/02/2023 7:39
19376,7063,61,12003435767,1,Member Bank Apprval 1,Approved,02/02/2023 10:35
19377,7063,70,12003435767,1,Approval Completed,Approved,02/03/2023 19:07
19378,7063,70,12003435767,2,Approval Completed,,02/03/2023 19:07
19379,7060,10,12003435762,1,DOC Registration,Approved,02/01/2023 15:27
19380,7060,15,12003435762,1,Quality Assurance (QAM),Approved,02/01/2023 15:49
19381,7060,20,12003435762,1,Data Entry,Approved,02/02/2023 13:55
19382,7060,30,12003435762,1,B/L Check,Approved,02/02/2023 13:55
19383,7060,40,12003435762,1,Application Check,Returned,02/02/2023 14:45
19384,7060,50,12003435762,1,Merchant Analyst,Approved,02/04/2023 22:01
19385,7060,61,12003435762,1,Member Bank Apprval 1,Approved,03/06/2023 18:48
19386,7060,70,12003435762,1,Approval Completed,Approved,02/06/2023 8:46
19387,7060,20,12003435762,2,Data Entry,Approved,02/02/2023 15:04
19388,7060,30,12003435762,2,B/L Check,Approved,02/02/2023 15:04
19389,7060,40,12003435762,2,Application Check,Approved,02/02/2023 16:41
19390,7060,61,12003435762,2,Member Bank Apprval 1,Approved,03/06/2023 17:27
19391,7060,70,12003435762,2,Approval Completed,Approved,03/06/2023 15:52
19392,7060,61,12003435762,3,Member Bank Apprval 1,Approved,02/06/2023 8:46
19393,7060,70,12003435762,3,Approval Completed,Approved,03/06/2023 17:27
19394,7060,70,12003435762,4,Approval Completed,Approved,03/06/2023 18:48
19395,7061,10,12003435763,1,DOC Registration,Approved,02/01/2023 15:30
19396,7061,15,12003435763,1,Quality Assurance (QAM),Approved,02/01/2023 15:31
19397,7061,20,12003435763,1,Data Entry,Approved,02/02/2023 8:45
19398,7061,30,12003435763,1,B/L Check,Approved,02/02/2023 8:45
19399,7061,40,12003435763,1,Application Check,Approved,02/02/2023 9:29
19400,7061,61,12003435763,1,Member Bank Apprval 1,Approved,02/02/2023 10:35
19401,7061,70,12003435763,1,Approval Completed,Approved,03/20/2023 15:40
19402,7061,70,12003435763,2,Approval Completed,,03/20/2023 15:40
19403,7062,10,12003435766,1,DOC Registration,Approved,02/01/2023 15:33
19404,7062,15,12003435766,1,Quality Assurance (QAM),Approved,02/01/2023 15:33
19405,7062,20,12003435766,1,Data Entry,Approved,02/02/2023 9:06
19406,7062,30,12003435766,1,B/L Check,Approved,02/02/2023 9:06
19407,7062,40,12003435766,1,Application Check,Approved,02/02/2023 15:12
19408,7062,61,12003435766,1,Member Bank Apprval 1,Approved,02/03/2023 8:16
19409,7062,70,12003435766,1,Approval Completed,Approved,02/04/2023 18:54
19410,7062,70,12003435766,2,Approval Completed,,02/04/2023 18:54
19411,7064,10,12003435775,1,DOC Registration,Approved,02/01/2023 15:40
19412,7064,15,12003435775,1,Quality Assurance (QAM),Approved,02/01/2023 15:41
19413,7064,20,12003435775,1,Data Entry,Approved,02/02/2023 11:40
19414,7064,30,12003435775,1,B/L Check,Approved,02/02/2023 11:40
19415,7064,40,12003435775,1,Application Check,Approved,02/02/2023 11:41
19416,7064,61,12003435775,1,Member Bank Apprval 1,Approved,02/02/2023 13:11
19417,7064,70,12003435775,1,Approval Completed,Approved,02/03/2023 16:16
19418,7064,70,12003435775,2,Approval Completed,,02/03/2023 16:16
19419,7065,10,12003435781,1,DOC Registration,Approved,02/01/2023 15:43
19420,7065,15,12003435781,1,Quality Assurance (QAM),Approved,02/01/2023 15:43
19421,7065,20,12003435781,1,Data Entry,Approved,02/02/2023 8:39
19422,7065,30,12003435781,1,B/L Check,Approved,02/02/2023 8:39
19423,7065,40,12003435781,1,Application Check,Approved,02/02/2023 9:32
19424,7065,61,12003435781,1,Member Bank Apprval 1,Approved,02/02/2023 10:35
19425,7065,70,12003435781,1,Approval Completed,Approved,02/02/2023 16:12
19426,7065,70,12003435781,2,Approval Completed,,02/02/2023 16:12
19427,7071,10,12003435820,1,DOC Registration,Approved,02/01/2023 16:16
19428,7071,15,12003435820,1,Quality Assurance (QAM),Approved,02/01/2023 16:32
19429,7071,20,12003435820,1,Data Entry,Approved,02/02/2023 12:15
19430,7071,30,12003435820,1,B/L Check,Approved,02/02/2023 12:15
19431,7071,40,12003435820,1,Application Check,Returned,02/02/2023 12:33
19432,7071,50,12003435820,1,Merchant Analyst,Approved,02/06/2023 15:57
19433,7071,61,12003435820,1,Member Bank Apprval 1,Approved,02/09/2023 17:07
19434,7071,70,12003435820,1,Approval Completed,Approved,02/23/2023 21:09
19435,7071,20,12003435820,2,Data Entry,Approved,02/02/2023 13:13
19436,7071,30,12003435820,2,B/L Check,Approved,02/02/2023 13:13
19437,7071,40,12003435820,2,Application Check,Approved,02/02/2023 13:49
19438,7071,61,12003435820,2,Member Bank Apprval 1,Approved,02/20/2023 18:10
19439,7071,70,12003435820,2,Approval Completed,Approved,02/23/2023 21:09
19440,7071,61,12003435820,3,Member Bank Apprval 1,Approved,02/07/2023 8:41
19441,7071,70,12003435820,3,Approval Completed,Approved,02/23/2023 21:09
19442,7071,70,12003435820,4,Approval Completed,Approved,02/23/2023 21:09
19443,7071,70,12003435820,5,Approval Completed,,02/23/2023 21:09
19444,7066,10,12003435785,1,DOC Registration,Approved,02/01/2023 16:41
19445,7066,15,12003435785,1,Quality Assurance (QAM),Approved,02/01/2023 16:42
19446,7066,20,12003435785,1,Data Entry,Approved,02/02/2023 8:58
19447,7066,30,12003435785,1,B/L Check,Approved,02/02/2023 8:58
19448,7066,40,12003435785,1,Application Check,Approved,02/02/2023 9:23
19449,7066,50,12003435785,1,Merchant Analyst,Returned,02/04/2023 19:26
19450,7066,61,12003435785,1,Member Bank Apprval 1,Approved,02/09/2023 15:08
19451,7066,70,12003435785,1,Approval Completed,Approved,02/16/2023 15:59
19452,7066,10,12003435785,2,DOC Registration,Approved,02/06/2023 16:32
19453,7066,15,12003435785,2,Quality Assurance (QAM),Approved,02/06/2023 16:34
19454,7066,20,12003435785,2,Data Entry,Approved,02/06/2023 16:49
19455,7066,30,12003435785,2,B/L Check,Approved,02/06/2023 16:49
19456,7066,40,12003435785,2,Application Check,Approved,02/06/2023 17:24
19457,7066,50,12003435785,2,Merchant Analyst,Returned,02/08/2023 10:46
19458,7066,70,12003435785,2,Approval Completed,,02/16/2023 15:59
19459,7066,10,12003435785,3,DOC Registration,Approved,02/08/2023 13:26
19460,7066,15,12003435785,3,Quality Assurance (QAM),Approved,02/08/2023 15:23
19461,7066,20,12003435785,3,Data Entry,Approved,02/08/2023 16:11
19462,7066,30,12003435785,3,B/L Check,Approved,02/08/2023 16:11
19463,7066,40,12003435785,3,Application Check,Approved,02/08/2023 17:51
19464,7066,50,12003435785,3,Merchant Analyst,Approved,02/09/2023 13:49
19465,7067,10,12003435795,1,DOC Registration,Approved,02/01/2023 16:03
19466,7067,15,12003435795,1,Quality Assurance (QAM),Approved,02/01/2023 16:34
19467,7067,20,12003435795,1,Data Entry,Returned,02/02/2023 13:32
19468,7067,30,12003435795,1,B/L Check,Approved,02/06/2023 8:56
19469,7067,40,12003435795,1,Application Check,Approved,02/06/2023 8:59
19470,7067,50,12003435795,1,Merchant Analyst,Approved,02/07/2023 16:19
19471,7067,61,12003435795,1,Member Bank Apprval 1,Approved,02/09/2023 17:07
19472,7067,70,12003435795,1,Approval Completed,Approved,02/21/2023 16:13
19473,7067,10,12003435795,2,DOC Registration,Approved,02/03/2023 9:09
19474,7067,15,12003435795,2,Quality Assurance (QAM),Approved,02/03/2023 9:46
19475,7067,20,12003435795,2,Data Entry,Approved,02/06/2023 8:56
19476,7067,61,12003435795,2,Member Bank Apprval 1,Approved,02/09/2023 15:41
19477,7067,70,12003435795,2,Approval Completed,Approved,02/21/2023 16:13
19478,7067,61,12003435795,3,Member Bank Apprval 1,Approved,02/08/2023 8:54
19479,7067,70,12003435795,3,Approval Completed,Approved,02/21/2023 16:13
19480,7067,70,12003435795,4,Approval Completed,Approved,02/21/2023 16:13
19481,7067,70,12003435795,5,Approval Completed,,02/21/2023 16:13
19482,7068,10,12003435813,1,DOC Registration,Approved,02/01/2023 16:13
19483,7068,15,12003435813,1,Quality Assurance (QAM),Approved,02/01/2023 16:33
19484,7068,20,12003435813,1,Data Entry,Returned,02/02/2023 10:21
19485,7068,30,12003435813,1,B/L Check,Approved,02/03/2023 12:09
19486,7068,40,12003435813,1,Application Check,Approved,02/03/2023 13:18
19487,7068,50,12003435813,1,Merchant Analyst,Approved,02/06/2023 17:12
19488,7068,61,12003435813,1,Member Bank Apprval 1,Approved,02/09/2023 17:07
19489,7068,70,12003435813,1,Approval Completed,Approved,02/23/2023 16:33
19490,7068,10,12003435813,2,DOC Registration,Approved,02/03/2023 9:08
19491,7068,15,12003435813,2,Quality Assurance (QAM),Approved,02/03/2023 9:46
19492,7068,20,12003435813,2,Data Entry,Approved,02/03/2023 12:09
19493,7068,61,12003435813,2,Member Bank Apprval 1,Approved,02/09/2023 15:31
19494,7068,70,12003435813,2,Approval Completed,Approved,02/23/2023 16:33
19495,7068,61,12003435813,3,Member Bank Apprval 1,Approved,02/07/2023 8:41
19496,7068,70,12003435813,3,Approval Completed,Approved,02/23/2023 16:33
19497,7068,70,12003435813,4,Approval Completed,Approved,02/23/2023 16:33
19498,7068,70,12003435813,5,Approval Completed,,02/23/2023 16:33
19499,7069,10,12003435815,1,DOC Registration,Approved,02/01/2023 16:29
19500,7069,15,12003435815,1,Quality Assurance (QAM),Approved,02/01/2023 16:38
19501,7069,20,12003435815,1,Data Entry,Approved,02/02/2023 8:38
19502,7069,30,12003435815,1,B/L Check,Approved,02/02/2023 8:38
19503,7069,40,12003435815,1,Application Check,Approved,02/02/2023 9:27
19504,7069,50,12003435815,1,Merchant Analyst,Approved,02/03/2023 9:52
19505,7069,61,12003435815,1,Member Bank Apprval 1,Approved,02/03/2023 17:36
19506,7069,70,12003435815,1,Approval Completed,Approved,02/07/2023 20:47
19507,7069,70,12003435815,2,Approval Completed,,02/07/2023 20:47
19508,7070,10,12003435818,1,DOC Registration,Approved,02/01/2023 16:14
19509,7070,15,12003435818,1,Quality Assurance (QAM),Approved,02/01/2023 16:33
19510,7070,20,12003435818,1,Data Entry,Approved,02/02/2023 11:13
19511,7070,30,12003435818,1,B/L Check,Approved,02/02/2023 11:13
19512,7070,40,12003435818,1,Application Check,Approved,02/02/2023 15:06
19513,7070,50,12003435818,1,Merchant Analyst,Approved,02/03/2023 10:19
19514,7070,61,12003435818,1,Member Bank Apprval 1,Approved,02/06/2023 15:04
19515,7070,70,12003435818,1,Approval Completed,Approved,02/03/2023 16:06
19516,7070,61,12003435818,2,Member Bank Apprval 1,Approved,02/06/2023 14:51
19517,7070,70,12003435818,2,Approval Completed,Approved,02/06/2023 14:06
19518,7070,61,12003435818,3,Member Bank Apprval 1,Approved,02/03/2023 16:06
19519,7070,70,12003435818,3,Approval Completed,Approved,02/06/2023 14:51
19520,7070,70,12003435818,4,Approval Completed,Approved,02/06/2023 15:04
19521,7077,10,12003436482,1,DOC Registration,Approved,02/01/2023 16:57
19522,7077,15,12003436482,1,Quality Assurance (QAM),Approved,02/01/2023 17:02
19523,7077,20,12003436482,1,Data Entry,Returned,02/02/2023 13:23
19524,7077,30,12003436482,1,B/L Check,Approved,02/06/2023 0:07
19525,7077,40,12003436482,1,Application Check,Approved,02/06/2023 16:16
19526,7077,50,12003436482,1,Merchant Analyst,Approved,02/08/2023 10:53
19527,7077,61,12003436482,1,Member Bank Apprval 1,Approved,02/15/2023 14:35
19528,7077,70,12003436482,1,Approval Completed,Approved,02/22/2023 16:29
19529,7077,10,12003436482,2,DOC Registration,Approved,02/03/2023 9:07
19530,7077,15,12003436482,2,Quality Assurance (QAM),Approved,02/03/2023 9:45
19531,7077,20,12003436482,2,Data Entry,Approved,02/06/2023 0:07
19532,7077,61,12003436482,2,Member Bank Apprval 1,Approved,02/15/2023 15:04
19533,7077,70,12003436482,2,Approval Completed,Approved,02/22/2023 16:29
19534,7077,61,12003436482,3,Member Bank Apprval 1,Approved,02/09/2023 8:59
19535,7077,70,12003436482,3,Approval Completed,Approved,02/22/2023 16:29
19536,7077,70,12003436482,4,Approval Completed,Approved,02/22/2023 16:29
19537,7077,70,12003436482,5,Approval Completed,,02/22/2023 16:29
19538,7072,10,12003436327,1,DOC Registration,Approved,02/01/2023 16:23
19539,7072,15,12003436327,1,Quality Assurance (QAM),Approved,02/01/2023 16:23
19540,7072,20,12003436327,1,Data Entry,Approved,02/02/2023 6:33
19541,7072,30,12003436327,1,B/L Check,Approved,02/02/2023 6:33
19542,7072,40,12003436327,1,Application Check,Approved,02/02/2023 10:45
19543,7072,50,12003436327,1,Merchant Analyst,Approved,02/02/2023 16:34
19544,7072,61,12003436327,1,Member Bank Apprval 1,Approved,02/03/2023 10:58
19545,7072,70,12003436327,1,Approval Completed,Approved,02/04/2023 22:01
19546,7072,70,12003436327,2,Approval Completed,,02/04/2023 22:01
19547,7073,10,12003436398,1,DOC Registration,Approved,02/01/2023 16:30
19548,7073,15,12003436398,1,Quality Assurance (QAM),Approved,02/01/2023 16:32
19549,7073,20,12003436398,1,Data Entry,Approved,02/02/2023 11:58
19550,7073,30,12003436398,1,B/L Check,Approved,02/02/2023 11:58
19551,7073,40,12003436398,1,Application Check,Approved,02/02/2023 13:36
19552,7073,50,12003436398,1,Merchant Analyst,Returned,02/05/2023 21:13
19553,7073,61,12003436398,1,Member Bank Apprval 1,Approved,02/07/2023 19:34
19554,7073,70,12003436398,1,Approval Completed,Approved,02/07/2023 19:34
19555,7073,20,12003436398,2,Data Entry,Approved,02/06/2023 7:03
19556,7073,30,12003436398,2,B/L Check,Approved,02/06/2023 7:03
19557,7073,40,12003436398,2,Application Check,Approved,02/06/2023 8:02
19558,7073,50,12003436398,2,Merchant Analyst,Approved,02/07/2023 5:37
19559,7074,10,12003436407,1,DOC Registration,Approved,02/01/2023 16:33
19560,7074,15,12003436407,1,Quality Assurance (QAM),Approved,02/01/2023 16:34
19561,7074,20,12003436407,1,Data Entry,Returned,02/02/2023 10:26
19562,7074,30,12003436407,1,B/L Check,Approved,02/03/2023 12:18
19563,7074,40,12003436407,1,Application Check,Approved,02/03/2023 16:30
19564,7074,50,12003436407,1,Merchant Analyst,Approved,02/07/2023 11:00
19565,7074,61,12003436407,1,Member Bank Apprval 1,Approved,02/09/2023 17:07
19566,7074,70,12003436407,1,Approval Completed,Approved,02/23/2023 16:35
19567,7074,10,12003436407,2,DOC Registration,Approved,02/03/2023 9:08
19568,7074,15,12003436407,2,Quality Assurance (QAM),Approved,02/03/2023 9:45
19569,7074,20,12003436407,2,Data Entry,Approved,02/03/2023 12:18
19570,7074,61,12003436407,2,Member Bank Apprval 1,Approved,02/09/2023 15:40
