SYS_ID_TR_MERCHANT_REGISTRATION,UPDATED,NAME_R_USER,REMARK,NAME_R_TYPE
0b0c7f55-7eab-43fc-8a04-ff1eb5842683,13:48.9,Ricky Nelson,ok,Submit Registration
0b0c7f55-7eab-43fc-8a04-ff1eb5842683,17:25.0,Ricky Nelson,"akuisisi baru QRIS Static, mdr std, settday std, mcc Proper;",Submit
fc4759ef-7f85-4e50-96d5-78151fd10e1e,21:08.9,Ricky Nelson,ok,Submit Registration
fc4759ef-7f85-4e50-96d5-78151fd10e1e,23:45.9,Ricky Nelson,"akuisisi baru QRIS Static, mdr std, settday std, mcc Proper;",Submit
6a16d7f1-e103-45d1-bb3e-50cf53fad035,20:48.5,Ricky Nelson,UKE atu UME,Return
f8401fce-966a-4d33-bccf-4633890bed60,01:42.7,Ricky Nelson,ok,Submit Registration
f8401fce-966a-4d33-bccf-4633890bed60,05:25.6,Ricky Nelson,"akuisisi baru QRIS Static, mdr std, settday std, mcc Proper;",Submit
3449923a-396d-4b65-918c-687859f7777c,18:19.2,Ricky Nelson,ok,Submit Registration
3449923a-396d-4b65-918c-687859f7777c,20:06.0,Ricky Nelson,"akuisisi baru QRIS Static, mdr std, settday std, mcc Proper;",Submit
6a16d7f1-e103-45d1-bb3e-50cf53fad035,46:52.7,Ricky Nelson,ok,Submit Registration
6a16d7f1-e103-45d1-bb3e-50cf53fad035,49:13.9,Ricky Nelson,"akuisisi baru QRIS Static, mdr std, settday std, mcc Proper;",Submit
459556eb-55ed-4c32-b908-e7d6d6953ad0,55:38.9,Ricky Nelson,ok,Submit Registration
459556eb-55ed-4c32-b908-e7d6d6953ad0,58:33.3,Ricky Nelson,"akuisisi baru QRIS Static, mdr std, settday std, mcc Proper;",Submit
ef50c2af-896c-4eee-9775-93e9a0934792,16:39.1,Ricky Nelson,req cancel,Return
453f39d4-d14d-49ab-8c60-3b42d9e6b70f,22:24.4,Ricky Nelson,cancel di maas sdh diproses seq no: 10006062155,Return
314770e1-2a97-4561-971a-9a1a51c0c6a4,25:17.4,Ricky Nelson,proses di maas seq no : 10005828678,Return
8019635e-73c6-4306-a52d-3f04b84a3195,34:54.3,Ricky Nelson,ok,Submit Registration
8019635e-73c6-4306-a52d-3f04b84a3195,19:08.7,Ricky Nelson,"akusisi baru QRIS Static, mdr std, settdays std, mcc proper;",Submit
4d55974c-20d2-4cfe-911e-0c13e4bf0ac7,40:24.1,Ricky Nelson,TO DE : cek kreteria merchant,Return
75ec5261-a218-4e56-9a94-250081d36b4f,51:49.3,Ricky Nelson,ok,Submit Registration
75ec5261-a218-4e56-9a94-250081d36b4f,53:14.8,Ricky Nelson,"akusisi baru QRIS Static, mdr std, settdays std, mcc proper;",Submit
1519688b-c111-4aa2-9b4c-9c78344bac7a,02:52.7,Ricky Nelson,"TO SS REVDOC : NPWP, harp lampirkan npwp yayasan",Return
6afb4916-3b36-4dd8-b636-81a7fb80baa4,32:43.9,Ricky Nelson,return confr Pak Bimo,Return
c6fcd80e-3383-4499-bfe2-1ba09b77f327,00:53.1,Ricky Nelson,"TO SS : pd description tertulis HIMBARA MANDIRI BRI tetapi memberbank BNI,mandiri",Return
4d55974c-20d2-4cfe-911e-0c13e4bf0ac7,53:13.9,Rizqikah Diana Putri,oke,Submit Registration
c6fcd80e-3383-4499-bfe2-1ba09b77f327,11:52.7,Rizqikah Diana Putri,Pengajuan EDC HIMBARA u/ TOKO RAFI RASYAD. PV meet owner ok. ,Submit Registration
c6fcd80e-3383-4499-bfe2-1ba09b77f327,41:08.6,Rizqikah Diana Putri,ok,Submit
ab6dfd78-c139-4a77-9744-2c6adcae38a2,43:55.2,Nurbaiti Albadru,PV meet owner OK,Submit Registration
ab6dfd78-c139-4a77-9744-2c6adcae38a2,56:59.3,Nurbaiti Albadru,return,Return
27c74c4a-a036-44ec-a2fa-e3030dc64d18,10:07.4,Muhaiminah MTI,"PV to Titin 087886091797, req edc himbara member bank mandiri dan bri, penjualan alat olahraga",Submit Registration
27c74c4a-a036-44ec-a2fa-e3030dc64d18,16:42.1,Muhaiminah MTI,PV to Titin 087886091797,Submit
ab6dfd78-c139-4a77-9744-2c6adcae38a2,32:01.3,Nurbaiti Albadru,Return,Return
3b8fa87a-06dd-4ab9-8bff-8c5711d6d4fe,56:23.6,Rizqikah Diana Putri,PIC tidak merespon PV ,Return
114b37cd-b075-4eb3-8621-949a994307a3,55:01.2,Al Qhori Mushafi,to de : mdr tidak muncul,Return
ab6dfd78-c139-4a77-9744-2c6adcae38a2,51:15.1,Nurbaiti Albadru,TO DE : MDR tdk bisa dilihat,Return
cf170b01-0efb-4777-ab9a-1f279eccde60,57:24.4,Ricky Nelson,TO DE : MDR tdk muncul (blank),Return
1cfa04a1-dc05-41b5-8cc3-b9d2927976c5,57:56.4,Al Qhori Mushafi,to de: format mdr tidak muncul,Return
114b37cd-b075-4eb3-8621-949a994307a3,56:42.9,Al Qhori Mushafi,to ss: mohon upload slik,Return
ea180de7-90de-4133-90aa-9691300d0679,55:41.5,Al Qhori Mushafi,to de: format mdr tidak muncul,Return
bf3b9351-4775-4271-8d1a-87519979d513,52:42.0,Ricky Nelson,TO DE : scren MDR tdk muncul,Return
efcac542-ba1d-484a-8a18-3cde00e47fd3,54:37.2,Ricky Nelson,TO DE : scren MDR tdk muncul,Return
1cfb720c-d7af-4dc8-962c-d48e7244be72,59:00.4,Ricky Nelson,TO DE : screen MDR tdk muncul,Return
6fc97e4a-8fb5-4453-ac1a-820617cbb084,16:44.9,Al Qhori Mushafi,to de: kolom mdr kosong,Return
167e7a52-d5ae-44c2-8098-eb1f009bb59e,18:51.5,Al Qhori Mushafi,to de: kolom mdr kosong,Return
b88a585a-85dd-4e79-8b9e-43a60fa9ca34,19:47.0,Al Qhori Mushafi,to de: kolom mdr kosong,Return
352a579b-1ea9-49b7-8c6c-5997cd4c6655,49:05.0,Nurbaiti Albadru,MDR tdk muncul,Return
352a579b-1ea9-49b7-8c6c-5997cd4c6655,41:46.0,Nurbaiti Albadru,EDC Himbara member bank BRI BNI,Submit Registration
71d58b3d-6f52-4b33-8cbf-f14aa9386922,06:57.1,Al Qhori Mushafi,to ss: merchant tdk menjawab pv analyst,Return
79cf9b6d-70a8-41cb-b8f9-f1e326f7828e,36:41.9,Rizqikah Diana Putri,ok,Submit Registration
79cf9b6d-70a8-41cb-b8f9-f1e326f7828e,42:16.8,Rizqikah Diana Putri,"Pengajuan EDC HIMBARA member bank BNI, dan BRI u/ TEMPO COFFEE. MDR ses doc, PV meet Owner ok. ",Submit
6139c7e2-335f-4ebf-9b6a-0e06d30beb43,34:57.7,Mutiara Nur Fatimah,PV to ACHMAD as PIC 081219630213; Req 1 EDC Himbara dgn memberbank BNI BRI dan BTN,Submit Registration
6139c7e2-335f-4ebf-9b6a-0e06d30beb43,41:35.1,Mutiara Nur Fatimah,PV to ACHMAD as PIC 081219630213; Req 1 EDC Himbara dgn memberbank BNI BRI dan BTN,Submit
98fb73f9-adaf-4e87-b757-50b2b10d48f5,53:21.1,Muhaiminah MTI,Harap perbaiki MCC sesuai dgn dokumen,Return
c3f639d8-7965-4081-9506-cf7bfcd649fa,10:44.8,Rita Nurmalasari,"TO DE: MDR hanya muncul sebagian, mohon dilengkapi",Return
71d58b3d-6f52-4b33-8cbf-f14aa9386922,35:11.4,Al Qhori Mushafi,"Akuisisi baru, Req edc fitur reguler",Submit
167e7a52-d5ae-44c2-8098-eb1f009bb59e,30:08.1,Nurbaiti Albadru,PV to Owner (081211059922),Submit
251f7a7a-7ab4-4d23-a865-620ed4e25158,02:23.9,Rizqikah Diana Putri,"TO SSREVDOC : Confrm owner, no rek mandiri salah, pls confrm kembali. ",Return
2e200f1a-fa8a-439a-8c47-c664085d8ece,16:54.6,Rizqikah Diana Putri,TO DE : Pls perbaiki rekening mandiri. ,Return
a265771e-fdc1-4285-9363-5d9a8f6145f7,33:27.4,Rizqikah Diana Putri,TO SS : Doc idak dapat di buka dan download,Return
500baeee-0a85-489d-bd1c-42a3df032263,54:32.5,Rizqikah Diana Putri,ok,Submit Registration
69086c70-f401-4c64-8bfe-823d199ee852,59:30.8,Muhaiminah MTI,To SS Nodoc: DC QA - Harap lengkapi DC QA. Brdsrkan hasil PV no telp merchant 02182651140 dan merchant ingin menambahkan member bank mandiri; pls cfm,Return
500baeee-0a85-489d-bd1c-42a3df032263,12:32.7,Rizqikah Diana Putri,"Req EDC Himbara  MANDIRI, BNI, BRI u/ TOKO SENANG BAHAGIA. MDR std, all fitur ses doc terlampir. PV meet owner, ok. ",Submit
f228e4cb-d21a-4886-8036-d0b3c6b6009e,15:29.2,Nurbaiti Albadru,TO DE : Revisi mcc (5944) dan sesuaikan sett day BNI,Return
bf3b9351-4775-4271-8d1a-87519979d513,19:29.8,Muhaiminah MTI,PV to Owner 081213139559,Submit Registration
9750e4a9-ccc1-477e-8688-582f605b86ad,21:23.2,Rizqikah Diana Putri,ok,Submit Registration
bf3b9351-4775-4271-8d1a-87519979d513,22:15.8,Muhaiminah MTI,PV to Owner 081213139559,Submit
9750e4a9-ccc1-477e-8688-582f605b86ad,24:47.2,Rizqikah Diana Putri,"Req EDC Himbara MANDIRI, BNI, BRI u/ TOKO SENANG BAHAGIA. MDR std, all fitur ses doc terlampir. PV meet owner , ok. ",Submit
ef2e5caf-71e8-46e3-9ce0-d5742500d28e,28:59.2,Nurbaiti Albadru,PV to Owner (081398686252),Submit Registration
ef2e5caf-71e8-46e3-9ce0-d5742500d28e,49:52.8,Nurbaiti Albadru,PV to Owner (081398686252),Submit
3dea2db5-4736-4940-a04f-8a15ee2b6c56,05:44.3,Nurbaiti Albadru,PV to Owner (08179188118),Submit Registration
3dea2db5-4736-4940-a04f-8a15ee2b6c56,19:06.4,Nurbaiti Albadru,TO DE : Periksa kembali mdr,Return
f6643732-ea00-4859-8917-fc54dcd72594,59:18.0,Muhaiminah MTI,To SS: Brdsrkan hasil PV merchant tdk memiliki rekening BRI dan BNI,Return
0727b1d0-176c-4c4f-9ffa-ac2e1a0a5556,29:39.8,Muhaiminah MTI,To DE: MDR tdk muncul,Return
cc97403d-c126-4487-83b6-09a972ec7301,50:31.7,Nurbaiti Albadru,TO DE : MDR tdk mucnul,Return
fd3a740a-d909-4012-870d-3274e47f67ee,30:13.2,Muhaiminah MTI,To DE: MDR tdk muncul,Return
42fc3aa8-d9f0-496f-9931-6587b9fbd664,31:10.2,Muhaiminah MTI,To DE: MDR tdk muncul,Return
44a1e360-7457-4c00-9946-d6fd585c97c1,39:05.5,Nurbaiti Albadru,TO DE : MDR tdk muncul,Return
3dea2db5-4736-4940-a04f-8a15ee2b6c56,49:17.5,Nurbaiti Albadru,TO DE : MDR tdk muncul,Return
ef2e5caf-71e8-46e3-9ce0-d5742500d28e,52:06.7,Nurbaiti Albadru,TO DE : MDR tdk muncul,Return
93428d2e-7ddb-4e36-b4ac-327e57e912bb,33:28.5,Muhaiminah MTI,To DE: MDR tdk muncul,Return
42152e96-47fe-455f-81db-2abc57b742d2,34:42.4,Ricky Nelson,screen MDR tdk muncul,Return
cf170b01-0efb-4777-ab9a-1f279eccde60,36:23.6,Ricky Nelson,screen MDR tdk muncul,Return
efcac542-ba1d-484a-8a18-3cde00e47fd3,38:00.3,Mutiara Nur Fatimah,to de mdr tidak muncul,Return
500baeee-0a85-489d-bd1c-42a3df032263,48:08.2,Rizqikah Diana Putri,TO DE : MDR tidak terlihat,Return
2e200f1a-fa8a-439a-8c47-c664085d8ece,50:58.6,Rizqikah Diana Putri,TO DE : MDR tidak terlihat,Return
bf3b9351-4775-4271-8d1a-87519979d513,53:22.7,Muhaiminah MTI,To DE: MDR tdk muncul,Return
69086c70-f401-4c64-8bfe-823d199ee852,55:21.1,Muhaiminah MTI,To DE: MDR tdk muncul,Return
9d6fcd23-7db5-4a66-aecd-938c035f5733,55:50.1,Rizqikah Diana Putri,TO DE : MDR tidak terlihat ,Return
9963a6f7-3b67-4df0-b400-a32649f1f1ed,54:31.3,Rizqikah Diana Putri,TO DE : MDR ,Return
99fe0955-b53a-4c4a-be20-f7409f06683d,57:59.9,Rizqikah Diana Putri,TO DE : MDR tidak terlihat,Return
1cfa04a1-dc05-41b5-8cc3-b9d2927976c5,04:57.5,Al Qhori Mushafi,to de: mdr tdk bs dibuka,Return
fb69ab18-4085-44a5-a7bd-6f874458062a,30:53.3,Rita Nurmalasari,To DE: MDR tidak muncul,Return
8cf61bfb-899b-45d1-86c1-e89e179daa21,36:35.8,Ricky Nelson,ok,Submit Registration
a265771e-fdc1-4285-9363-5d9a8f6145f7,02:02.1,Mutiara Nur Fatimah,Return to SS; pls cfm brdsrkn PV to Owner req ganti norek BNI 0010150523 an JUJU JUHARIYAH,Return
69086c70-f401-4c64-8bfe-823d199ee852,22:01.8,Muhaiminah MTI,To DE: Harap perbaiki MDR QRIS BNI dan BRI ses dok 0.7%,Return
bf3b9351-4775-4271-8d1a-87519979d513,28:14.3,Muhaiminah MTI,To DE: Harap perbaiki MDR QRIS BNI dan Mandiri ses dok 0.7%,Return
801b55ab-0f5c-43a1-b652-a1e7ccf7d1e7,56:12.0,Mutiara Nur Fatimah,Return; tab MDR tdk muncul,Return
f228e4cb-d21a-4886-8036-d0b3c6b6009e,38:23.7,Nurbaiti Albadru,TO DE : MDR member bank BNI tdk ada,Return
ef2e5caf-71e8-46e3-9ce0-d5742500d28e,39:29.2,Nurbaiti Albadru,TO DE : MDR member bank Mandiri tdk ada,Return
42152e96-47fe-455f-81db-2abc57b742d2,50:56.6,Ricky Nelson,MDR BNI tdk muncul,Return
8cf61bfb-899b-45d1-86c1-e89e179daa21,42:53.9,Ricky Nelson,pv to 081911276805,Submit
e0db3976-9f10-4775-a2a2-3fc22f53eab3,00:02.3,Muhaiminah MTI,To SS: Harap lengkapi OTS,Return
93428d2e-7ddb-4e36-b4ac-327e57e912bb,03:02.7,Muhaiminah MTI,"usaha sejak 2018, omset 96jt/thn, req 1 edc",Submit Registration
1cfa04a1-dc05-41b5-8cc3-b9d2927976c5,15:58.8,Al Qhori Mushafi,"Akuisisi baru, Req edc fitur reguler",Submit
14a97c7a-9cfd-487b-8919-74e9fed06442,15:34.4,Nurbaiti Albadru,PV to Owner (081909999119),Submit Registration
f6643732-ea00-4859-8917-fc54dcd72594,30:43.6,Muhaiminah MTI,"To SS: Brdsrkan hasil PV ke 0818157981, merchant dpt dihubungi hari Senin tgl 7 Nov 2022",Return
bf3b9351-4775-4271-8d1a-87519979d513,21:31.7,Muhaiminah MTI,PV to Owner 081213139559,Submit
69086c70-f401-4c64-8bfe-823d199ee852,05:03.9,Muhaiminah MTI,PV to Owner 081287068211/02182651140,Submit
bf3b9351-4775-4271-8d1a-87519979d513,17:46.3,Muhaiminah MTI,PV to Owner 081213139559,Submit Registration
14a97c7a-9cfd-487b-8919-74e9fed06442,17:52.4,Nurbaiti Albadru,PV to Owner (081909999119),Submit
3dea2db5-4736-4940-a04f-8a15ee2b6c56,20:19.5,Nurbaiti Albadru,PV to Owner (08179188118),Submit Registration
3dea2db5-4736-4940-a04f-8a15ee2b6c56,21:15.3,Nurbaiti Albadru,PV to Owner (08179188118),Submit
114b37cd-b075-4eb3-8621-949a994307a3,39:49.2,Al Qhori Mushafi,to ss: no telp tdk aktif,Return
edc76447-8f30-4fe1-b916-b0436c2d618b,03:00.2,Al Qhori Mushafi,"Akuisisi baru, Req edc fitur reguler",Submit Registration
41cad6b2-9085-40db-b970-41a09600f299,11/1/2022 17:10,Al Qhori Mushafi,"Akuisisi baru, Req edc fitur reguler",Submit Registration
78b28825-e0ab-4563-bc2b-310d4d055d13,29:50.0,Al Qhori Mushafi,"Akuisisi baru, Req edc fitur reguler",Submit
78b28825-e0ab-4563-bc2b-310d4d055d13,26:29.3,Al Qhori Mushafi,"Akuisisi baru, Req edc fitur reguler",Submit Registration
edc76447-8f30-4fe1-b916-b0436c2d618b,06:22.7,Al Qhori Mushafi,"Akuisisi baru, Req edc fitur reguler",Submit
41cad6b2-9085-40db-b970-41a09600f299,11:39.8,Al Qhori Mushafi,"Akuisisi baru, Req edc fitur reguler",Submit
42152e96-47fe-455f-81db-2abc57b742d2,42:56.2,Ricky Nelson,ok,Submit Registration
42152e96-47fe-455f-81db-2abc57b742d2,52:31.9,Ricky Nelson,pv to 081296557878,Submit
0727b1d0-176c-4c4f-9ffa-ac2e1a0a5556,58:31.6,Muhaiminah MTI,PV to Owner 081555990025,Submit
ef2e5caf-71e8-46e3-9ce0-d5742500d28e,12:53.1,Nurbaiti Albadru,PV to Owner (081398686252),Submit Registration
ef2e5caf-71e8-46e3-9ce0-d5742500d28e,14:23.4,Nurbaiti Albadru,PV to Owner (081398686252),Submit
f228e4cb-d21a-4886-8036-d0b3c6b6009e,23:19.8,Nurbaiti Albadru,PV to Owner (081368687222),Submit
9273a4f7-ff68-4bc8-9b77-bcfea693e291,39:57.5,Nurbaiti Albadru,PV to PIC Joni (081261338813),Submit Registration
9273a4f7-ff68-4bc8-9b77-bcfea693e291,27:35.1,Nurbaiti Albadru,TO SS : Doc tdk bisa dibuka (uploader: Danil Ahmad),Return
ee0969cf-52b0-4f68-919b-35876ee33e60,21:10.1,Rizqikah Diana Putri,"Pengajuan EDC HIMBARA MANDIRI & BRI u/ NOVINA. MDR std ses doc terlampir, PV meet Owner, ok. ",Submit
e4a63d3c-338b-4747-83e8-9c1ea65aed4c,06:49.3,Nurbaiti Albadru,TO SS : Hasil pv di lokasi sdh ada edc Mandiri,Return
ee0969cf-52b0-4f68-919b-35876ee33e60,17:00.6,Rizqikah Diana Putri,OK,Submit Registration
500baeee-0a85-489d-bd1c-42a3df032263,36:19.5,Rizqikah Diana Putri,"TO DE : MDR tidak muncul, hanya QR BRI",Return
0fa0d0c3-aa59-417f-833c-0fdaaef923c9,59:33.2,Nurbaiti Albadru,PV to Owner (085311755853),Submit Registration
0fa0d0c3-aa59-417f-833c-0fdaaef923c9,35:29.9,Nurbaiti Albadru,TO DE : Revisi mcc (5970),Return
8f796cef-aec3-4491-9da1-e763956d6d84,42:59.0,Nurbaiti Albadru,PV to PIC Dessy (081311261711),Submit
9750e4a9-ccc1-477e-8688-582f605b86ad,45:26.3,Rizqikah Diana Putri,Ok,Submit Registration
9750e4a9-ccc1-477e-8688-582f605b86ad,47:33.6,Rizqikah Diana Putri,"Req EDC Himbara MANDIRI, BNI, BRI u/ TOKO SENANG BAHAGIA. MDR std, all fitur ses doc terlampir. PV meet owner , ok. ",Submit
58566a59-df6e-4de8-9701-0c0335205acc,48:58.4,Nurbaiti Albadru,PV to PIC Dessy (081311261711),Submit
51635c32-ce74-4b35-a912-7610f0dff9da,53:09.7,Nurbaiti Albadru,PV to PIC Dessy (081311261711),Submit
93428d2e-7ddb-4e36-b4ac-327e57e912bb,06:19.5,Muhaiminah MTI,PV to Owner 081310494343,Submit
2e200f1a-fa8a-439a-8c47-c664085d8ece,58:25.9,Rizqikah Diana Putri,TO SS : PV tidak dapat di hubungi,Return
3b8fa87a-06dd-4ab9-8bff-8c5711d6d4fe,59:16.9,Rizqikah Diana Putri,TO SS : PV tdk dapat d hubungi,Return
aafdac80-e4f4-445a-b989-13bc3c469ab3,08:58.2,Rizqikah Diana Putri,ok,Submit Registration
a265771e-fdc1-4285-9363-5d9a8f6145f7,18:03.3,Rizqikah Diana Putri,"Pengajuan HIMBARA MANDIRI, BNI dan BRI u/ AMIR JAYA GROUP ADVERTISING. MDR std all fitur refer doc terlampir, PV meet owner, ok.",Submit
aafdac80-e4f4-445a-b989-13bc3c469ab3,11:24.7,Rizqikah Diana Putri,"Pengajuan EDC HIMBARA MANDIRI,BRI, BNI u/ RIZMA FLORYS. MDR std all fitur refer doc terlampir, PV meet Owner, ok. ",Submit
bf3b9351-4775-4271-8d1a-87519979d513,13:28.3,Muhaiminah MTI,PV to Owner 081213139559,Submit
a265771e-fdc1-4285-9363-5d9a8f6145f7,16:13.1,Rizqikah Diana Putri,ok,Submit Registration
ef2e5caf-71e8-46e3-9ce0-d5742500d28e,25:52.3,Nurbaiti Albadru,PV to Owner (081398686252),Submit Registration
ef2e5caf-71e8-46e3-9ce0-d5742500d28e,26:40.1,Nurbaiti Albadru,PV to Owner (081398686252),Submit
931b12e6-7bf3-4817-a1b5-4148e20cedc2,12:08.3,Muhaiminah MTI,PV to Owner 085921100703,Submit
bf3b9351-4775-4271-8d1a-87519979d513,12:59.0,Muhaiminah MTI,PV to Owner 081213139559,Submit Registration
67cda427-c1b7-4e43-aee0-8464db86d807,12:34.9,Nurbaiti Albadru,"TO SS : Pending pv, terinfo dr ADO owner bisa di pv tgl 4 Nov 2022",Return
c7a6e5f3-1e56-4fa5-87b6-8111a506a578,37:57.8,Rizqikah Diana Putri,ok,Submit Registration
c7a6e5f3-1e56-4fa5-87b6-8111a506a578,39:13.3,Rizqikah Diana Putri,PV to PIC Dessy (081311261711),Submit
1bec9d2b-7893-41c1-9577-a32ec5031f2b,41:19.0,Rizqikah Diana Putri,PV to PIC Dessy (081311261711),Submit
77ed8a4e-83bc-4ba0-9aae-35795322d017,43:03.4,Muhaiminah MTI,PV to PIC Dessy (081311261711),Submit
7053f74f-e6e4-45b6-a955-b58ffe5d9bd9,43:09.5,Rizqikah Diana Putri,PV to PIC Dessy (081311261711),Submit
22662335-1b1e-43bd-abe5-a4e478b68e57,45:52.2,Rizqikah Diana Putri,ok,Submit Registration
caa4ebaf-ed3b-4a5a-90b6-31f660559b69,53:03.3,Muhaiminah MTI,PV to PIC Dessy (081311261711),Submit
4e6b6fbb-e9cf-402b-aa3d-c0d67f1050f5,54:56.9,Muhaiminah MTI,PV to PIC Dessy (081311261711),Submit
9e84eb46-0422-47b0-9248-1beabbb9cc4c,56:42.5,Muhaiminah MTI,PV to PIC Dessy (081311261711),Submit
3471987f-e85e-4cbc-be22-dea6e05ad07b,45:58.0,Muhaiminah MTI,PV to PIC Dessy (081311261711),Submit
22662335-1b1e-43bd-abe5-a4e478b68e57,47:44.0,Rizqikah Diana Putri,"Pengajuan EDC HIMBARA MANDIRI,BNI dan BRI U/ HAFIZ. MDR std all fitur refer doc terlampir. PV meet Owner, ok. ",Submit
1249034a-a737-44e4-bada-defb137b887f,48:32.8,Muhaiminah MTI,PV to PIC Dessy (081311261711),Submit
b2125078-a55b-4458-82a3-163c118ddaaf,48:44.9,Rizqikah Diana Putri,TO SS : PV tidak dapat di hubungi,Return
7e041421-82e0-4d35-b6f1-4f14f60e0931,50:51.0,Muhaiminah MTI,PV to PIC Dessy (081311261711),Submit
865f6681-bd14-4fd0-88d8-78c6c7156ba4,00:34.9,Muhaiminah MTI,PV to PIC Dessy (081311261711),Submit
9f1c0052-663b-4ae3-8e56-ca3eb8d5939e,02:21.8,Muhaiminah MTI,PV to PIC Dessy (081311261711),Submit
931b12e6-7bf3-4817-a1b5-4148e20cedc2,05:30.8,Muhaiminah MTI,pv ok,Submit Registration
c1d35184-767c-4e23-94b6-13d9ac4e722c,47:09.8,Nurbaiti Albadru,PV to Owner (08111929474),Submit
96ea1797-8acd-4572-ad14-8d94de0b2b71,04:22.7,Muhaiminah MTI,PV to PIC Dessy (081311261711),Submit
0a071d0e-01aa-48fb-b106-6e92312c5f99,49:39.9,Nurbaiti Albadru,PV to Owner (08111929474),Submit Registration
0a071d0e-01aa-48fb-b106-6e92312c5f99,56:37.4,Nurbaiti Albadru,TO DE : MDR tdk muncul,Return
c1d35184-767c-4e23-94b6-13d9ac4e722c,40:21.7,Nurbaiti Albadru,PV to Owner (08111929474),Submit Registration
1c2080c9-7b81-4541-b436-77368eb61ca3,52:22.4,Muhaiminah MTI,PV to PIC Dessy (081311261711),Submit
6fd12408-f861-4666-91de-e3e42a77dbaf,54:05.2,Muhaiminah MTI,PV to PIC Dessy (081311261711),Submit
c3f203c3-26ff-49d5-b0b1-886b674ee737,58:45.1,Muhaiminah MTI,PV to PIC Dessy (081311261711),Submit
bc68f55d-2fb7-425c-913c-a59ea4d2bb66,55:46.9,Muhaiminah MTI,PV to PIC Dessy (081311261711),Submit
c36512be-87ef-4158-89fa-f84533b17b4c,57:16.2,Muhaiminah MTI,PV to PIC Dessy (081311261711),Submit
506802e7-3326-404e-9d34-f3456103ad65,26:37.1,Ricky Nelson,TO SS : hasil PV merchant memiliki EDC BRI pd OTS foto edc terlampir,Return
f55ef650-5745-4aba-a65f-e675ac6d6947,40:58.1,Rizqikah Diana Putri,"TO SSREVDOC : Confrm PIC, pengajuan semua bank mandiri,bri,bni dan BTN. pls confrm kembali",Return
17c2778a-c557-4aae-801e-2b8e5a8029ae,36:48.5,Ricky Nelson,existing mandiri sudah ada pada MAAS (on operation),Return
f6c6db9e-ad20-4abf-ac5c-ea57ecbb28b9,50:38.2,Rizqikah Diana Putri,TO DE : Pls ses clearing code pada coloumn member bank ,Return
9d51ac18-b04f-4583-a58b-582299518ea8,01:46.2,Nurbaiti Albadru,PV to Owner (081398686252),Submit Registration
ef2e5caf-71e8-46e3-9ce0-d5742500d28e,26:41.4,Nurbaiti Albadru,PV to Owner (081398686252),Submit Registration
ef2e5caf-71e8-46e3-9ce0-d5742500d28e,27:06.9,Nurbaiti Albadru,PV to Owner (081398686252),Submit
64f54f99-75c0-4778-a2f9-d1f086798507,02:45.7,Ricky Nelson,ok,Submit Registration
eab5ccd8-0877-4a36-b4f4-2d8ebb08b6a2,10:17.3,Ricky Nelson,ok,Submit Registration
63ebb498-a3a9-466c-a47c-ad43206a309d,10:18.6,Nurbaiti Albadru,PV to PIC Dessy (081311261711),Submit
