IDLOG,IDTRACKER,IDSTATUS,APLC_STATUS,APLC_AUTH,APLC_RSON,PROC_PGRS_SEQ_NO,DATA_CHNG_DTTM
14147,6951,40,Application Check,Approved,,1,1/31/2023 8:01
14148,6947,50,Merchant Analyst,Approved,,1,2/1/2023 15:02
14149,6947,61,Member Bank Apprval 1,Approved,,1,2/2/2023 11:02
14150,6947,70,Approval Completed,Approved,,1,2/7/2023 17:02
14151,6948,10,DOC Registration,Approved,,1,1/30/2023 16:01
14152,6948,15,Quality Assurance (QAM),Approved,,1,1/30/2023 16:01
14153,6948,20,Data Entry,Approved,,1,1/31/2023 5:01
14154,6948,50,Merchant Analyst,Approved,,1,2/1/2023 13:02
14155,6950,50,Merchant Analyst,Approved,,1,2/1/2023 22:02
14156,6948,70,Approval Completed,Approved,,1,2/2/2023 16:02
14157,6949,70,Approval Completed,Approved,,1,2/2/2023 16:02
14158,6948,70,Approval Completed,,,2,2/2/2023 16:02
14159,6949,10,DOC Registration,Approved,,1,1/30/2023 16:01
14160,6949,15,Quality Assurance (QAM),Approved,,1,1/30/2023 16:01
14161,6949,20,Data Entry,Approved,,1,1/31/2023 6:01
14162,6949,70,Approval Completed,,,2,2/2/2023 16:02
14163,6950,70,Approval Completed,,,2,2/25/2023 17:02
14164,6951,15,Quality Assurance (QAM),Approved,,1,1/30/2023 16:01
14165,6951,20,Data Entry,Approved,,1,1/31/2023 6:01
14166,6951,50,Merchant Analyst,Approved,,1,1/31/2023 21:01
14167,6951,70,Approval Completed,,,2,2/10/2023 17:02
14168,6952,10,DOC Registration,Approved,,1,1/30/2023 20:01
14169,6952,15,Quality Assurance (QAM),Approved,,1,1/31/2023 3:01
14170,6953,10,DOC Registration,Approved,,1,1/30/2023 20:01
14171,6953,15,Quality Assurance (QAM),Approved,,1,1/31/2023 3:01
14172,6954,10,DOC Registration,Approved,,1,1/30/2023 20:01
14173,6954,15,Quality Assurance (QAM),Approved,,1,1/31/2023 3:01
14174,6952,30,B/L Check,Approved,,1,1/31/2023 12:01
14175,6952,40,Application Check,Approved,,1,1/31/2023 16:01
14176,6953,30,B/L Check,Approved,,1,1/31/2023 12:01
14177,6953,40,Application Check,Approved,,1,1/31/2023 13:01
14178,6954,30,B/L Check,Approved,,1,1/31/2023 12:01
14179,6954,40,Application Check,Approved,,1,1/31/2023 14:01
14180,6952,50,Merchant Analyst,Approved,,1,2/2/2023 16:02
14181,6952,61,Member Bank Apprval 1,Approved,,1,2/8/2023 10:02
14182,6952,61,Member Bank Apprval 1,Approved,,2,2/7/2023 16:02
14183,6952,70,Approval Completed,Approved,,1,2/22/2023 14:02
14184,6953,70,Approval Completed,Approved,,1,2/22/2023 21:02
14185,6954,70,Approval Completed,Approved,,1,2/23/2023 16:02
14186,6952,61,Member Bank Apprval 1,Approved,,3,2/6/2023 8:02
14187,6952,70,Approval Completed,Approved,,3,2/22/2023 14:02
14188,6953,70,Approval Completed,Approved,,3,2/22/2023 21:02
14189,6952,70,Approval Completed,,,5,2/22/2023 14:02
14190,6953,70,Approval Completed,Approved,,2,2/22/2023 21:02
14191,6953,70,Approval Completed,Approved,,4,2/22/2023 21:02
14192,6954,50,Merchant Analyst,Approved,,1,2/2/2023 16:02
14193,6954,61,Member Bank Apprval 1,Approved,,1,2/8/2023 10:02
14194,6954,70,Approval Completed,Approved,,2,2/23/2023 16:02
14195,6954,61,Member Bank Apprval 1,Approved,,3,2/6/2023 8:02
14196,6954,70,Approval Completed,Approved,,3,2/23/2023 16:02
14197,6954,70,Approval Completed,Approved,,4,2/23/2023 16:02
14198,6954,70,Approval Completed,,,5,2/23/2023 16:02
14199,6955,10,DOC Registration,Approved,,1,1/30/2023 20:01
14200,6955,15,Quality Assurance (QAM),Approved,,1,1/31/2023 3:01
14201,6955,20,Data Entry,Approved,,1,1/31/2023 12:01
14202,6955,30,B/L Check,Approved,,1,1/31/2023 12:01
14203,6955,40,Application Check,Approved,,1,1/31/2023 16:01
14204,6955,70,Approval Completed,Approved,,1,2/22/2023 21:02
14205,6955,70,Approval Completed,Approved,,2,2/22/2023 21:02
14206,6955,61,Member Bank Apprval 1,Approved,,3,2/6/2023 8:02
14207,6955,70,Approval Completed,Approved,,3,2/22/2023 21:02
14208,6955,70,Approval Completed,Approved,,4,2/22/2023 21:02
14209,6955,70,Approval Completed,,,5,2/22/2023 21:02
14210,6956,10,DOC Registration,Approved,,1,1/30/2023 20:01
14211,6956,15,Quality Assurance (QAM),Approved,,1,1/31/2023 3:01
14212,6956,20,Data Entry,Approved,,1,1/31/2023 12:01
14213,6956,30,B/L Check,Approved,,1,1/31/2023 12:01
14214,6956,40,Application Check,Approved,,1,1/31/2023 13:01
14215,6956,70,Approval Completed,Approved,,1,2/23/2023 15:02
14216,6956,61,Member Bank Apprval 1,Approved,,2,2/7/2023 16:02
14217,6955,50,Merchant Analyst,Approved,,1,2/1/2023 22:02
14218,6955,61,Member Bank Apprval 1,Approved,,1,2/8/2023 10:02
14219,6955,61,Member Bank Apprval 1,Approved,,2,2/7/2023 16:02
14220,6956,50,Merchant Analyst,Approved,,1,2/2/2023 10:02
14221,6956,61,Member Bank Apprval 1,Approved,,1,2/8/2023 10:02
14222,6956,70,Approval Completed,Approved,,2,2/23/2023 15:02
14223,6956,61,Member Bank Apprval 1,Approved,,3,2/6/2023 8:02
14224,6956,70,Approval Completed,Approved,,3,2/23/2023 15:02
14225,6956,70,Approval Completed,Approved,,4,2/23/2023 15:02
14226,6956,70,Approval Completed,,,5,2/23/2023 15:02
14227,6957,10,DOC Registration,Approved,,1,1/30/2023 20:01
14228,6957,15,Quality Assurance (QAM),Approved,,1,1/31/2023 3:01
14229,6957,20,Data Entry,Approved,,1,1/31/2023 12:01
14230,6957,30,B/L Check,Approved,,1,1/31/2023 12:01
14231,6957,40,Application Check,Approved,,1,1/31/2023 14:01
14232,6957,70,Approval Completed,Approved,,1,2/23/2023 15:02
14233,6957,70,Approval Completed,Approved,,2,2/23/2023 15:02
14234,6957,61,Member Bank Apprval 1,Approved,,3,2/6/2023 8:02
14235,6957,70,Approval Completed,Approved,,3,2/23/2023 15:02
14236,6957,70,Approval Completed,Approved,,4,2/23/2023 15:02
14237,6957,70,Approval Completed,,,5,2/23/2023 15:02
14238,6958,10,DOC Registration,Approved,,1,1/30/2023 20:01
14239,6958,15,Quality Assurance (QAM),Approved,,1,1/31/2023 3:01
14240,6958,20,Data Entry,Approved,,1,1/31/2023 12:01
14241,6958,30,B/L Check,Approved,,1,1/31/2023 12:01
14242,6958,40,Application Check,Approved,,1,1/31/2023 16:01
14243,6958,50,Merchant Analyst,Approved,,1,2/2/2023 8:02
14244,6958,61,Member Bank Apprval 1,Approved,,1,2/8/2023 10:02
14245,6958,70,Approval Completed,Approved,,1,2/23/2023 21:02
14246,6958,61,Member Bank Apprval 1,Approved,,2,2/7/2023 16:02
14247,6958,70,Approval Completed,Approved,,2,2/23/2023 21:02
14248,6958,61,Member Bank Apprval 1,Approved,,3,2/6/2023 8:02
14249,6958,70,Approval Completed,Approved,,3,2/23/2023 21:02
14250,6958,70,Approval Completed,Approved,,4,2/23/2023 21:02
14251,6959,10,DOC Registration,Approved,,1,1/30/2023 20:01
14252,6959,15,Quality Assurance (QAM),Approved,,1,1/31/2023 3:01
14253,6959,20,Data Entry,Approved,,1,1/31/2023 13:01
14254,6959,61,Member Bank Apprval 1,Approved,,1,2/8/2023 10:02
14255,6959,70,Approval Completed,Approved,,1,2/23/2023 21:02
14256,6959,61,Member Bank Apprval 1,Approved,,2,2/7/2023 17:02
14257,6959,70,Approval Completed,Approved,,2,2/23/2023 21:02
14258,6959,70,Approval Completed,Approved,,3,2/23/2023 21:02
14259,6959,70,Approval Completed,Approved,,4,2/23/2023 21:02
14260,7425,10,DOC Registration,Approved,,1,2/8/2023 9:02
14261,7425,15,Quality Assurance (QAM),Approved,,1,2/8/2023 9:02
14262,7425,20,Data Entry,Approved,,1,2/8/2023 14:02
14263,7425,30,B/L Check,Approved,,1,2/8/2023 14:02
14264,7425,40,Application Check,Approved,,1,2/8/2023 18:02
14265,7425,50,Merchant Analyst,Approved,,1,2/9/2023 12:02
14266,7425,61,Member Bank Apprval 1,Approved,,1,2/9/2023 17:02
14267,7425,70,Approval Completed,Approved,,1,2/12/2023 21:02
14268,7425,70,Approval Completed,,,2,2/12/2023 21:02
14269,7426,30,B/L Check,Approved,,1,2/8/2023 14:02
14270,7426,40,Application Check,Approved,,1,2/8/2023 19:02
14271,7426,61,Member Bank Apprval 1,Approved,,1,2/9/2023 17:02
14272,7426,70,Approval Completed,Approved,,1,2/12/2023 21:02
14273,7426,70,Approval Completed,,,2,2/12/2023 21:02
14274,7427,30,B/L Check,Approved,,1,2/8/2023 13:02
14275,7427,40,Application Check,Returned,Application,1,2/8/2023 15:02
14276,7427,61,Member Bank Apprval 1,Approved,,1,2/9/2023 23:02
14277,7427,70,Approval Completed,Approved,,1,2/12/2023 21:02
14278,7427,20,Data Entry,Approved,,2,2/8/2023 15:02
14279,7427,30,B/L Check,Approved,,2,2/8/2023 15:02
14280,7427,40,Application Check,Approved,,2,2/8/2023 18:02
14281,7427,70,Approval Completed,,,2,2/12/2023 21:02
14282,7428,10,DOC Registration,Approved,,1,2/8/2023 9:02
14283,7428,15,Quality Assurance (QAM),Approved,,1,2/8/2023 9:02
14284,7428,20,Data Entry,Approved,,1,2/8/2023 11:02
14285,7428,30,B/L Check,Approved,,1,2/8/2023 11:02
14286,7428,40,Application Check,Approved,,1,2/8/2023 11:02
14287,7428,61,Member Bank Apprval 1,Approved,,1,2/8/2023 14:02
14288,7428,70,Approval Completed,Approved,,1,2/9/2023 21:02
14289,7428,70,Approval Completed,,,2,2/9/2023 21:02
14290,7429,30,B/L Check,Approved,,1,2/8/2023 11:02
14291,7429,40,Application Check,Approved,,1,2/8/2023 11:02
14292,7429,61,Member Bank Apprval 1,Approved,,1,2/8/2023 14:02
14293,7429,70,Approval Completed,Approved,,1,2/9/2023 17:02
14294,7429,70,Approval Completed,,,2,2/9/2023 17:02
14295,7430,30,B/L Check,Approved,,1,2/8/2023 11:02
14296,7430,40,Application Check,Approved,,1,2/8/2023 11:02
14297,7430,61,Member Bank Apprval 1,Approved,,1,2/8/2023 14:02
14298,7430,70,Approval Completed,Approved,,1,2/9/2023 21:02
14299,7430,70,Approval Completed,,,2,2/9/2023 21:02
14300,7431,10,DOC Registration,Approved,,1,2/8/2023 10:02
14301,7431,15,Quality Assurance (QAM),Approved,,1,2/8/2023 10:02
14302,7431,20,Data Entry,Approved,,1,2/8/2023 11:02
14303,7431,30,B/L Check,Approved,,1,2/8/2023 11:02
14304,7431,40,Application Check,Approved,,1,2/8/2023 11:02
14305,7431,61,Member Bank Apprval 1,Approved,,1,2/8/2023 14:02
14306,7431,70,Approval Completed,Approved,,1,2/10/2023 17:02
14307,7431,70,Approval Completed,,,2,2/10/2023 17:02
14308,7432,20,Data Entry,Approved,,1,2/8/2023 13:02
14309,7432,30,B/L Check,Approved,,1,2/8/2023 13:02
14310,7432,40,Application Check,Approved,,1,2/8/2023 14:02
14311,7432,61,Member Bank Apprval 1,Approved,,1,2/9/2023 17:02
14312,7432,70,Approval Completed,Approved,,1,2/12/2023 21:02
14313,7432,70,Approval Completed,,,2,2/12/2023 21:02
14314,7433,10,DOC Registration,Approved,,1,2/8/2023 10:02
14315,7433,15,Quality Assurance (QAM),Approved,,1,2/8/2023 10:02
14316,7433,20,Data Entry,Approved,,1,2/8/2023 13:02
14317,7433,61,Member Bank Apprval 1,Approved,,1,2/9/2023 23:02
14318,7433,70,Approval Completed,Approved,,1,2/12/2023 21:02
14319,7433,20,Data Entry,Approved,,2,2/8/2023 14:02
14320,7433,70,Approval Completed,,,2,2/12/2023 21:02
14321,7434,10,DOC Registration,Approved,,1,2/8/2023 10:02
14322,7434,15,Quality Assurance (QAM),Approved,,1,2/8/2023 10:02
14323,7434,20,Data Entry,Approved,,1,2/8/2023 13:02
14324,7434,50,Merchant Analyst,Approved,,1,2/9/2023 14:02
14325,7434,61,Member Bank Apprval 1,Approved,,1,2/9/2023 23:02
14326,7434,70,Approval Completed,Approved,,1,2/12/2023 22:02
14327,7434,20,Data Entry,Approved,,2,2/8/2023 14:02
14328,7434,70,Approval Completed,,,2,2/12/2023 22:02
14329,7435,10,DOC Registration,Approved,,1,2/8/2023 10:02
14330,7435,15,Quality Assurance (QAM),Approved,,1,2/8/2023 10:02
14331,7435,20,Data Entry,Approved,,1,2/8/2023 13:02
14332,7435,30,B/L Check,Approved,,1,2/8/2023 13:02
14333,7435,40,Application Check,Returned,Application,1,2/8/2023 14:02
14334,7435,50,Merchant Analyst,Approved,,1,2/9/2023 13:02
14335,7435,61,Member Bank Apprval 1,Approved,,1,2/9/2023 17:02
14336,7435,70,Approval Completed,Approved,,1,2/12/2023 21:02
14337,7435,70,Approval Completed,,,2,2/12/2023 21:02
14338,7436,10,DOC Registration,Approved,,1,2/8/2023 10:02
14339,7436,15,Quality Assurance (QAM),Approved,,1,2/8/2023 10:02
14340,7436,20,Data Entry,Approved,,1,2/8/2023 13:02
14341,7436,30,B/L Check,Approved,,1,2/8/2023 13:02
14342,7436,40,Application Check,Returned,Application,1,2/8/2023 14:02
14343,7436,50,Merchant Analyst,Approved,,1,2/9/2023 13:02
14344,7436,61,Member Bank Apprval 1,Approved,,1,2/9/2023 17:02
14345,7436,70,Approval Completed,Approved,,1,2/12/2023 21:02
14346,7436,70,Approval Completed,,,2,2/12/2023 21:02
14347,7437,10,DOC Registration,Approved,,1,2/8/2023 10:02
14348,7437,30,B/L Check,Approved,,1,2/8/2023 13:02
14349,7437,40,Application Check,Returned,Application,1,2/8/2023 14:02
14350,7437,50,Merchant Analyst,Approved,,1,2/9/2023 12:02
14351,7437,61,Member Bank Apprval 1,Approved,,1,2/9/2023 17:02
14352,7437,70,Approval Completed,Approved,,1,2/12/2023 21:02
14353,7437,30,B/L Check,Approved,,2,2/8/2023 14:02
14354,7437,40,Application Check,Approved,,2,2/8/2023 15:02
14355,6957,50,Merchant Analyst,Approved,,1,2/1/2023 22:02
14356,6957,61,Member Bank Apprval 1,Approved,,1,2/8/2023 10:02
14357,6957,61,Member Bank Apprval 1,Approved,,2,2/7/2023 16:02
14358,6958,70,Approval Completed,,,5,2/23/2023 21:02
14359,6959,70,Approval Completed,,,5,2/23/2023 21:02
14360,6959,30,B/L Check,Approved,,1,1/31/2023 13:01
14361,6959,40,Application Check,Approved,,1,1/31/2023 13:01
14362,6959,50,Merchant Analyst,Approved,,1,2/1/2023 8:02
14363,6959,61,Member Bank Apprval 1,Approved,,3,2/1/2023 11:02
14364,7426,10,DOC Registration,Approved,,1,2/8/2023 9:02
14365,7426,15,Quality Assurance (QAM),Approved,,1,2/8/2023 9:02
14366,7426,20,Data Entry,Approved,,1,2/8/2023 14:02
14367,7427,10,DOC Registration,Approved,,1,2/8/2023 9:02
14368,7427,15,Quality Assurance (QAM),Approved,,1,2/8/2023 9:02
14369,7427,20,Data Entry,Approved,,1,2/8/2023 13:02
14370,7426,50,Merchant Analyst,Approved,,1,2/9/2023 12:02
14371,7427,50,Merchant Analyst,Approved,,1,2/9/2023 16:02
14372,7429,10,DOC Registration,Approved,,1,2/8/2023 9:02
14373,7429,15,Quality Assurance (QAM),Approved,,1,2/8/2023 9:02
14374,7429,20,Data Entry,Approved,,1,2/8/2023 11:02
14375,7430,10,DOC Registration,Approved,,1,2/8/2023 9:02
14376,7430,15,Quality Assurance (QAM),Approved,,1,2/8/2023 9:02
14377,7430,20,Data Entry,Approved,,1,2/8/2023 11:02
14378,7432,10,DOC Registration,Approved,,1,2/8/2023 10:02
14379,7432,15,Quality Assurance (QAM),Approved,,1,2/8/2023 10:02
14380,7432,50,Merchant Analyst,Approved,,1,2/9/2023 8:02
14381,7433,30,B/L Check,Approved,,1,2/8/2023 13:02
14382,7433,40,Application Check,Returned,Application,1,2/8/2023 14:02
14383,7434,30,B/L Check,Approved,,1,2/8/2023 13:02
14384,7434,40,Application Check,Returned,Application,1,2/8/2023 14:02
14385,7433,50,Merchant Analyst,Approved,,1,2/9/2023 14:02
14386,7433,30,B/L Check,Approved,,2,2/8/2023 14:02
14387,7433,40,Application Check,Approved,,2,2/8/2023 15:02
14388,7435,30,B/L Check,Approved,,2,2/8/2023 14:02
14389,7435,40,Application Check,Approved,,2,2/8/2023 15:02
14390,7437,20,Data Entry,Approved,,2,2/8/2023 14:02
14391,7434,30,B/L Check,Approved,,2,2/8/2023 14:02
14392,7434,40,Application Check,Approved,,2,2/8/2023 15:02
14393,7435,20,Data Entry,Approved,,2,2/8/2023 14:02
14394,7436,20,Data Entry,Approved,,2,2/8/2023 14:02
14395,7436,30,B/L Check,Approved,,2,2/8/2023 14:02
14396,7436,40,Application Check,Approved,,2,2/8/2023 15:02
14397,7437,15,Quality Assurance (QAM),Approved,,1,2/8/2023 10:02
14398,7437,20,Data Entry,Approved,,1,2/8/2023 13:02
14399,7437,70,Approval Completed,,,2,2/12/2023 21:02
14400,7438,10,DOC Registration,Approved,,1,2/8/2023 10:02
14401,7438,15,Quality Assurance (QAM),Approved,,1,2/8/2023 10:02
14402,7438,20,Data Entry,Approved,,1,2/8/2023 13:02
14403,7438,40,Application Check,Returned,Application,1,2/8/2023 15:02
14404,7438,50,Merchant Analyst,Approved,,1,2/9/2023 15:02
14405,7438,70,Approval Completed,Approved,,1,2/12/2023 22:02
14406,7438,20,Data Entry,Approved,,2,2/8/2023 15:02
14407,7438,30,B/L Check,Approved,,2,2/8/2023 15:02
14408,7438,40,Application Check,Approved,,2,2/8/2023 19:02
14409,7438,70,Approval Completed,,,2,2/12/2023 22:02
14410,7439,30,B/L Check,Approved,,1,2/8/2023 14:02
14411,7439,40,Application Check,Returned,Application,1,2/8/2023 14:02
14412,7439,50,Merchant Analyst,Approved,,1,2/9/2023 14:02
14413,7439,61,Member Bank Apprval 1,Approved,,1,2/9/2023 17:02
14414,7439,70,Approval Completed,Approved,,1,2/12/2023 21:02
14415,7439,20,Data Entry,Approved,,2,2/8/2023 14:02
14416,7439,30,B/L Check,Approved,,2,2/8/2023 14:02
14417,7439,40,Application Check,Approved,,2,2/8/2023 15:02
14418,7439,70,Approval Completed,,,2,2/12/2023 21:02
14419,7440,30,B/L Check,Approved,,1,2/8/2023 14:02
14420,7440,40,Application Check,Approved,,1,2/8/2023 16:02
14421,7440,50,Merchant Analyst,Approved,,1,2/9/2023 11:02
14422,7440,61,Member Bank Apprval 1,Approved,,1,2/9/2023 17:02
14423,7440,70,Approval Completed,Approved,,1,2/12/2023 21:02
14424,7440,70,Approval Completed,,,2,2/12/2023 21:02
14425,7441,10,DOC Registration,Approved,,1,2/8/2023 11:02
14426,7441,15,Quality Assurance (QAM),Approved,,1,2/8/2023 11:02
14427,7441,20,Data Entry,Approved,,1,2/8/2023 14:02
14428,7441,30,B/L Check,Approved,,1,2/8/2023 14:02
14429,7441,40,Application Check,Approved,,1,2/8/2023 16:02
14430,7441,50,Merchant Analyst,Returned,Application,1,2/9/2023 15:02
14431,7441,70,Approval Completed,Approved,,1,2/13/2023 16:02
14432,7441,50,Merchant Analyst,Approved,,2,2/10/2023 8:02
14433,7442,10,DOC Registration,Approved,,1,2/8/2023 11:02
14434,7442,15,Quality Assurance (QAM),Approved,,1,2/8/2023 11:02
14435,7442,20,Data Entry,Approved,,1,2/8/2023 14:02
14436,7442,30,B/L Check,Approved,,1,2/8/2023 14:02
14437,7442,40,Application Check,Approved,,1,2/8/2023 19:02
14438,7442,50,Merchant Analyst,Approved,,1,2/9/2023 15:02
14439,7442,61,Member Bank Apprval 1,Approved,,1,2/9/2023 23:02
14440,7442,70,Approval Completed,Approved,,1,2/12/2023 22:02
14441,7442,70,Approval Completed,,,2,2/12/2023 22:02
14442,7443,10,DOC Registration,Approved,,1,2/8/2023 11:02
14443,7443,15,Quality Assurance (QAM),Approved,,1,2/8/2023 11:02
14444,7443,20,Data Entry,Approved,,1,2/8/2023 14:02
14445,7443,30,B/L Check,Approved,,1,2/8/2023 14:02
14446,7443,40,Application Check,Approved,,1,2/8/2023 16:02
14447,7443,61,Member Bank Apprval 1,Approved,,1,2/9/2023 17:02
14448,7443,70,Approval Completed,Approved,,1,2/12/2023 21:02
14449,7443,70,Approval Completed,,,2,2/12/2023 21:02
14491,7441,70,Approval Completed,,,2,2/13/2023 16:02
14540,7973,70,Approval Completed,,,4,3/23/2023 20:03
14541,7974,20,Data Entry,Approved,,1,3/1/2023 13:03
14542,7974,70,Approval Completed,Approved,,1,3/23/2023 20:03
14543,7974,30,B/L Check,Approved,,2,3/1/2023 14:03
14450,7444,10,DOC Registration,Approved,,1,2/8/2023 11:02
14451,7444,15,Quality Assurance (QAM),Approved,,1,2/8/2023 16:02
14452,7444,30,B/L Check,Approved,,1,2/9/2023 1:02
14453,7444,40,Application Check,Approved,,1,2/9/2023 8:02
14454,7444,70,Approval Completed,Approved,,1,2/13/2023 12:02
14455,7444,70,Approval Completed,Approved,,2,3/2/2023 16:03
14456,7444,61,Member Bank Apprval 1,Approved,,3,2/13/2023 12:02
14457,7444,70,Approval Completed,Approved,,3,3/3/2023 16:03
14458,7444,70,Approval Completed,Approved,,4,3/6/2023 18:03
14459,7445,10,DOC Registration,Approved,,1,2/8/2023 11:02
14460,7445,15,Quality Assurance (QAM),Approved,,1,2/8/2023 16:02
14461,7445,50,Merchant Analyst,Approved,,1,2/12/2023 10:02
14462,7445,61,Member Bank Apprval 1,Approved,,1,3/6/2023 18:03
14463,7445,70,Approval Completed,Approved,,1,2/13/2023 12:02
14464,7445,61,Member Bank Apprval 1,Approved,,2,3/2/2023 16:03
14465,7445,70,Approval Completed,Approved,,2,3/2/2023 16:03
14466,7445,61,Member Bank Apprval 1,Approved,,3,2/13/2023 12:02
14467,7445,70,Approval Completed,Approved,,3,3/3/2023 16:03
14468,7445,70,Approval Completed,Approved,,4,3/6/2023 18:03
14469,7446,10,DOC Registration,Approved,,1,2/8/2023 11:02
14470,7446,15,Quality Assurance (QAM),Approved,,1,2/8/2023 16:02
14471,7446,70,Approval Completed,Approved,,1,2/13/2023 12:02
14472,7446,70,Approval Completed,Approved,,2,3/2/2023 16:03
14473,7446,61,Member Bank Apprval 1,Approved,,3,2/13/2023 12:02
14474,7446,70,Approval Completed,Approved,,3,3/3/2023 16:03
14475,7446,70,Approval Completed,Approved,,4,3/6/2023 18:03
14476,7447,10,DOC Registration,Approved,,1,2/8/2023 11:02
14477,7447,15,Quality Assurance (QAM),Approved,,1,2/8/2023 16:02
14478,7447,20,Data Entry,Approved,,1,2/9/2023 0:02
14479,7438,30,B/L Check,Approved,,1,2/8/2023 13:02
14480,7438,61,Member Bank Apprval 1,Approved,,1,2/9/2023 23:02
14481,7439,10,DOC Registration,Approved,,1,2/8/2023 10:02
14482,7439,15,Quality Assurance (QAM),Approved,,1,2/8/2023 10:02
14483,7439,20,Data Entry,Approved,,1,2/8/2023 14:02
14484,7440,10,DOC Registration,Approved,,1,2/8/2023 10:02
14485,7440,15,Quality Assurance (QAM),Approved,,1,2/8/2023 10:02
14486,7440,20,Data Entry,Approved,,1,2/8/2023 14:02
14487,7441,61,Member Bank Apprval 1,Approved,,1,2/10/2023 16:02
14488,7441,20,Data Entry,Approved,,2,2/9/2023 15:02
14489,7441,30,B/L Check,Approved,,2,2/9/2023 15:02
14490,7441,40,Application Check,Approved,,2,2/9/2023 19:02
14492,7443,50,Merchant Analyst,Approved,,1,2/9/2023 13:02
14493,7444,20,Data Entry,Approved,,1,2/9/2023 1:02
14494,7445,20,Data Entry,Approved,,1,2/9/2023 0:02
14495,7446,20,Data Entry,Approved,,1,2/9/2023 0:02
14496,7444,50,Merchant Analyst,Approved,,1,2/11/2023 21:02
14497,7444,61,Member Bank Apprval 1,Approved,,1,3/6/2023 18:03
14498,7444,61,Member Bank Apprval 1,Approved,,2,3/2/2023 16:03
14499,7445,30,B/L Check,Approved,,1,2/9/2023 0:02
14500,7445,40,Application Check,Approved,,1,2/9/2023 19:02
