|APLC_SEQ_NO|MID        |TID     |MERCHANT NAME                         |CITY                               |PROSES PENGAJUAN APLIKASI|TGL APLIKASI MASUK     |STATUS APLIKASI           |STATUS WR        |STATUS WO|PROVIDER_TYP|TMNL_STATUS |TMNL_MODEL|SNO                 |MER_DTL_ADDR1                                   |MER_DTL_ADDR2                                   |MER_DTL_ADDR3                                 |MID_BRI     |MID_BNI        |MID_BTN        |MID_ASTRAPAY|MID_DANAMON|MID_BSI|MID_OCBC|TID_BRI |TID_BNI |TID_BTN |TID_ASTRAPAY|TID_DANAMON|TID_BSI|TID_OCBC|MEMBER_BANK             |
|12002513688|71133304248|74577746|MIDI SC91 PERUM KARAWANG              |Karawang (Kab)                     |                         |2023-01-02 14:32:59.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL.PERUMNAS BUMI TELUK JAMBE BLOK B NO 9B-9C    |RT 003/12                                       |KARAWANG                                      |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002513688|71133304248|74577747|MIDI SC91 PERUM KARAWANG              |Karawang (Kab)                     |                         |2023-01-02 14:32:59.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL.PERUMNAS BUMI TELUK JAMBE BLOK B NO 9B-9C    |RT 003/12                                       |KARAWANG                                      |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002513688|71133304248|74577748|MIDI SC91 PERUM KARAWANG              |Karawang (Kab)                     |                         |2023-01-02 14:32:59.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL.PERUMNAS BUMI TELUK JAMBE BLOK B NO 9B-9C    |RT 003/12                                       |KARAWANG                                      |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002513688|71133304248|        |MIDI SC91 PERUM KARAWANG              |Karawang (Kab)                     |Approved                 |2023-01-02 14:32:59.000|Partial Approval Completed|                 |         |            |            |          |                    |JL.PERUMNAS BUMI TELUK JAMBE BLOK B NO 9B-9C    |RT 003/12                                       |KARAWANG                                      |            |               |               |            |           |       |        |        |        |        |            |           |       |        |                        |
|12002513691|71129965965|74544436|MIDI SC95 STASIUN CIKAMPEK            |Karawang (Kab)                     |                         |2023-01-02 14:39:13.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL STASIUN LAMA CIKAMPEK NO 37 RT 02 RW 03      |DESA CIKAMPEK UTARA                             |KARAWANG                                      |001999228061|000100215901624|200711299659652|            |           |       |        |10398654|15162402|20031438|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002513691|71129965965|74544437|MIDI SC95 STASIUN CIKAMPEK            |Karawang (Kab)                     |                         |2023-01-02 14:39:13.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL STASIUN LAMA CIKAMPEK NO 37 RT 02 RW 03      |DESA CIKAMPEK UTARA                             |KARAWANG                                      |001999228061|000100215901624|200711299659652|            |           |       |        |10398655|15162403|20031439|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002513691|71129965965|74544438|MIDI SC95 STASIUN CIKAMPEK            |Karawang (Kab)                     |                         |2023-01-02 14:39:13.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL STASIUN LAMA CIKAMPEK NO 37 RT 02 RW 03      |DESA CIKAMPEK UTARA                             |KARAWANG                                      |001999228061|000100215901624|200711299659652|            |           |       |        |10398656|15162423|20031440|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002513698|71133304341|74577749|MIDI SC96 MATRAMAN RAYA               |Jakarta Timur (Kota Administrasi)  |                         |2023-01-02 14:45:48.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. MATRAMAN RAYA NO. 33                        |KEL PALMERAH KEC MATRAMAN                       |JAKARTA TIMUR                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002513698|71133304341|74577750|MIDI SC96 MATRAMAN RAYA               |Jakarta Timur (Kota Administrasi)  |                         |2023-01-02 14:45:48.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. MATRAMAN RAYA NO. 33                        |KEL PALMERAH KEC MATRAMAN                       |JAKARTA TIMUR                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002513698|71133304341|74577751|MIDI SC96 MATRAMAN RAYA               |Jakarta Timur (Kota Administrasi)  |                         |2023-01-02 14:45:48.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. MATRAMAN RAYA NO. 33                        |KEL PALMERAH KEC MATRAMAN                       |JAKARTA TIMUR                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002513698|71133304341|        |MIDI SC96 MATRAMAN RAYA               |Jakarta Timur (Kota Administrasi)  |Approved                 |2023-01-02 14:45:48.000|Partial Approval Completed|                 |         |            |            |          |                    |JL. MATRAMAN RAYA NO. 33                        |KEL PALMERAH KEC MATRAMAN                       |JAKARTA TIMUR                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |                        |
|12002513903|71129966023|74544439|MIDI SH01 UTAN PANJANG                |Jakarta Pusat (Kota Administrasi)  |                         |2023-01-02 15:14:35.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. MAHONI NO. 197 RT. 012 RW. 02               |KEL BUNGUR KEC SENEN                            |JAKARTA PUSAT                                 |001999228283|000100215901774|200711299660238|            |           |       |        |10399320|15177402|20031441|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002513903|71129966023|74544440|MIDI SH01 UTAN PANJANG                |Jakarta Pusat (Kota Administrasi)  |                         |2023-01-02 15:14:35.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. MAHONI NO. 197 RT. 012 RW. 02               |KEL BUNGUR KEC SENEN                            |JAKARTA PUSAT                                 |001999228283|000100215901774|200711299660238|            |           |       |        |10399321|15177403|20031442|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002513903|71129966023|74544441|MIDI SH01 UTAN PANJANG                |Jakarta Pusat (Kota Administrasi)  |                         |2023-01-02 15:14:35.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. MAHONI NO. 197 RT. 012 RW. 02               |KEL BUNGUR KEC SENEN                            |JAKARTA PUSAT                                 |001999228283|000100215901774|200711299660238|            |           |       |        |10399322|15177423|20031443|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002515409|71133304434|74577752|MIDI SH04 BENDUNGAN JAGO              |Jakarta Pusat (Kota Administrasi)  |                         |2023-01-02 15:21:07.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL BENDUNGAN JAGO RAYA NO 14 RT 008 RW 001      |KEL UTAN PANJANG KEC KEMAYORAN                  |JAKARTA PUSAT                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002515409|71133304434|74577753|MIDI SH04 BENDUNGAN JAGO              |Jakarta Pusat (Kota Administrasi)  |                         |2023-01-02 15:21:07.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL BENDUNGAN JAGO RAYA NO 14 RT 008 RW 001      |KEL UTAN PANJANG KEC KEMAYORAN                  |JAKARTA PUSAT                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002515409|71133304434|74577754|MIDI SH04 BENDUNGAN JAGO              |Jakarta Pusat (Kota Administrasi)  |                         |2023-01-02 15:21:07.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL BENDUNGAN JAGO RAYA NO 14 RT 008 RW 001      |KEL UTAN PANJANG KEC KEMAYORAN                  |JAKARTA PUSAT                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002515409|71133304434|        |MIDI SH04 BENDUNGAN JAGO              |Jakarta Pusat (Kota Administrasi)  |Approved                 |2023-01-02 15:21:07.000|Partial Approval Completed|                 |         |            |            |          |                    |JL BENDUNGAN JAGO RAYA NO 14 RT 008 RW 001      |KEL UTAN PANJANG KEC KEMAYORAN                  |JAKARTA PUSAT                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |                        |
|12002515439|71133304527|74577755|MIDI SH26 PIK 2                       |Jakarta Utara (Kota Administrasi)  |                         |2023-01-02 15:25:31.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. PANTAI INDAH UTARA 2, PIK                   |KEL KAPUK MUARA KEC PENJARINGAN                 |JAKARTA UTARA                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002515439|71133304527|74577756|MIDI SH26 PIK 2                       |Jakarta Utara (Kota Administrasi)  |                         |2023-01-02 15:25:31.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. PANTAI INDAH UTARA 2, PIK                   |KEL KAPUK MUARA KEC PENJARINGAN                 |JAKARTA UTARA                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002515439|71133304527|74577757|MIDI SH26 PIK 2                       |Jakarta Utara (Kota Administrasi)  |                         |2023-01-02 15:25:31.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. PANTAI INDAH UTARA 2, PIK                   |KEL KAPUK MUARA KEC PENJARINGAN                 |JAKARTA UTARA                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002515439|71133304527|        |MIDI SH26 PIK 2                       |Jakarta Utara (Kota Administrasi)  |Approved                 |2023-01-02 15:25:31.000|Partial Approval Completed|                 |         |            |            |          |                    |JL. PANTAI INDAH UTARA 2, PIK                   |KEL KAPUK MUARA KEC PENJARINGAN                 |JAKARTA UTARA                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |                        |
|12002515970|71133304620|74577758|MIDI SH42 KAMAL RAYA 2                |Jakarta Barat (Kota Administrasi)  |                         |2023-01-02 15:30:00.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. KAMAL NO. 50 E,F,G,H                        |KEL. CENGKARENG BARAT KEC. CENGKARENG           |JAKARTA BARAT                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002515970|71133304620|74577759|MIDI SH42 KAMAL RAYA 2                |Jakarta Barat (Kota Administrasi)  |                         |2023-01-02 15:30:00.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. KAMAL NO. 50 E,F,G,H                        |KEL. CENGKARENG BARAT KEC. CENGKARENG           |JAKARTA BARAT                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002515970|71133304620|74577760|MIDI SH42 KAMAL RAYA 2                |Jakarta Barat (Kota Administrasi)  |                         |2023-01-02 15:30:00.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. KAMAL NO. 50 E,F,G,H                        |KEL. CENGKARENG BARAT KEC. CENGKARENG           |JAKARTA BARAT                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002515970|71133304620|        |MIDI SH42 KAMAL RAYA 2                |Jakarta Barat (Kota Administrasi)  |Approved                 |2023-01-02 15:30:00.000|Partial Approval Completed|                 |         |            |            |          |                    |JL. KAMAL NO. 50 E,F,G,H                        |KEL. CENGKARENG BARAT KEC. CENGKARENG           |JAKARTA BARAT                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |                        |
|12002515973|71129966116|74544442|MIDI SH45 HADIAH UTAMA                |Jakarta Barat (Kota Administrasi)  |                         |2023-01-02 15:34:50.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. ANYAR RAYA BLOK E-VI NO 1407 A,B,C,D        |KEL. JELAMBAR KEC. GROGOL PETAMBURAN            |JAKARTA BARAT                                 |001999228557|000100212900862|200711299661161|            |           |       |        |10400238|12086202|20031444|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002515973|71129966116|74544443|MIDI SH45 HADIAH UTAMA                |Jakarta Barat (Kota Administrasi)  |                         |2023-01-02 15:34:50.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. ANYAR RAYA BLOK E-VI NO 1407 A,B,C,D        |KEL. JELAMBAR KEC. GROGOL PETAMBURAN            |JAKARTA BARAT                                 |001999228557|000100212900862|200711299661161|            |           |       |        |10400239|12086203|20031445|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002515973|71129966116|74544444|MIDI SH45 HADIAH UTAMA                |Jakarta Barat (Kota Administrasi)  |                         |2023-01-02 15:34:50.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. ANYAR RAYA BLOK E-VI NO 1407 A,B,C,D        |KEL. JELAMBAR KEC. GROGOL PETAMBURAN            |JAKARTA BARAT                                 |001999228557|000100212900862|200711299661161|            |           |       |        |10400240|12086223|20031446|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002515979|71133304713|74577761|MIDI SH91 SRENGSENG RAYA              |Jakarta Barat (Kota Administrasi)  |                         |2023-01-02 15:39:43.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. SRENGSENG RAYA NO. 80 RT. 010 RW.05         |KEL. SRENGSENG KEC. KEMBANGAN                   |JAKARTA BARAT                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002515979|71133304713|74577762|MIDI SH91 SRENGSENG RAYA              |Jakarta Barat (Kota Administrasi)  |                         |2023-01-02 15:39:43.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. SRENGSENG RAYA NO. 80 RT. 010 RW.05         |KEL. SRENGSENG KEC. KEMBANGAN                   |JAKARTA BARAT                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002515979|71133304713|74577763|MIDI SH91 SRENGSENG RAYA              |Jakarta Barat (Kota Administrasi)  |                         |2023-01-02 15:39:43.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. SRENGSENG RAYA NO. 80 RT. 010 RW.05         |KEL. SRENGSENG KEC. KEMBANGAN                   |JAKARTA BARAT                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002515979|71133304713|        |MIDI SH91 SRENGSENG RAYA              |Jakarta Barat (Kota Administrasi)  |Approved                 |2023-01-02 15:39:43.000|Partial Approval Completed|                 |         |            |            |          |                    |JL. SRENGSENG RAYA NO. 80 RT. 010 RW.05         |KEL. SRENGSENG KEC. KEMBANGAN                   |JAKARTA BARAT                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |                        |
|12002515989|71129966209|74544445|MIDI UC01 SYECH QURO WADAS            |Karawang (Kab)                     |                         |2023-01-02 15:50:28.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. SYECH QURO WADAS RT 001/004 DS. BUAH ASEM   |KEL KARYAMUKTI KEC LEMAH ABANG                  |KARAWANG                                      |001999228105|000100215901654|200711299662094|            |           |       |        |10398786|15165403|20031447|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002515989|71129966209|74544446|MIDI UC01 SYECH QURO WADAS            |Karawang (Kab)                     |                         |2023-01-02 15:50:28.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. SYECH QURO WADAS RT 001/004 DS. BUAH ASEM   |KEL KARYAMUKTI KEC LEMAH ABANG                  |KARAWANG                                      |001999228105|000100215901654|200711299662094|            |           |       |        |10398787|15165404|20031448|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002515989|71129966209|74544447|MIDI UC01 SYECH QURO WADAS            |Karawang (Kab)                     |                         |2023-01-02 15:50:28.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. SYECH QURO WADAS RT 001/004 DS. BUAH ASEM   |KEL KARYAMUKTI KEC LEMAH ABANG                  |KARAWANG                                      |001999228105|000100215901654|200711299662094|            |           |       |        |10398788|15165405|20031449|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002516001|71133304806|74577764|MIDI UC02 SOMERSET                    |Jakarta Timur (Kota Administrasi)  |                         |2023-01-02 16:01:24.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |KAV SOMERSET N BLOK N 08 NO 003                 |KEL KOTA WISATA KEC CIBUBUR                     |JAKARTA TIMUR                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002516001|71133304806|74577765|MIDI UC02 SOMERSET                    |Jakarta Timur (Kota Administrasi)  |                         |2023-01-02 16:01:24.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |KAV SOMERSET N BLOK N 08 NO 003                 |KEL KOTA WISATA KEC CIBUBUR                     |JAKARTA TIMUR                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002516001|71133304806|74577766|MIDI UC02 SOMERSET                    |Jakarta Timur (Kota Administrasi)  |                         |2023-01-02 16:01:24.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |KAV SOMERSET N BLOK N 08 NO 003                 |KEL KOTA WISATA KEC CIBUBUR                     |JAKARTA TIMUR                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002516001|71133304806|        |MIDI UC02 SOMERSET                    |Jakarta Timur (Kota Administrasi)  |Approved                 |2023-01-02 16:01:24.000|Partial Approval Completed|                 |         |            |            |          |                    |KAV SOMERSET N BLOK N 08 NO 003                 |KEL KOTA WISATA KEC CIBUBUR                     |JAKARTA TIMUR                                 |            |               |               |            |           |       |        |        |        |        |            |           |       |        |                        |
|12002509984|71129964405|74544397|BF78 MIDI SAONIGEHO 2                 |Nias Selatan (Kab)                 |                         |2023-01-02 07:19:31.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. SAONIGEHO KM 1                              |KEL. PASAR TELUK DALAM KEC. TELUK DALAM         |NIAS SELATAN                                  |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002509984|71129964405|74544398|BF78 MIDI SAONIGEHO 2                 |Nias Selatan (Kab)                 |                         |2023-01-02 07:19:31.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. SAONIGEHO KM 1                              |KEL. PASAR TELUK DALAM KEC. TELUK DALAM         |NIAS SELATAN                                  |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002509984|71129964405|        |BF78 MIDI SAONIGEHO 2                 |Nias Selatan (Kab)                 |Approved                 |2023-01-02 07:19:31.000|Partial Approval Completed|                 |         |            |            |          |                    |JL. SAONIGEHO KM 1                              |KEL. PASAR TELUK DALAM KEC. TELUK DALAM         |NIAS SELATAN                                  |            |               |               |            |           |       |        |        |        |        |            |           |       |        |                        |
|12002509986|71129964598|74544399|BF79 MIDI N8 PEMATANG SELENG          |Labuhanbatu (Kab)                  |                         |2023-01-02 07:26:16.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. LINTAS SUMATERA                             |DESA PEMATANG SELENG KEC. BILAH HULU            |LABUHANBATU                                   |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002509986|71129964598|74544400|BF79 MIDI N8 PEMATANG SELENG          |Labuhanbatu (Kab)                  |                         |2023-01-02 07:26:16.000|Merchant Analyst          |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. LINTAS SUMATERA                             |DESA PEMATANG SELENG KEC. BILAH HULU            |LABUHANBATU                                   |            |               |               |            |           |       |        |        |        |        |            |           |       |        |SINGLE BMRI             |
|12002509986|71129964598|        |BF79 MIDI N8 PEMATANG SELENG          |Labuhanbatu (Kab)                  |Approved                 |2023-01-02 07:26:16.000|Partial Approval Completed|                 |         |            |            |          |                    |JL. LINTAS SUMATERA                             |DESA PEMATANG SELENG KEC. BILAH HULU            |LABUHANBATU                                   |            |               |               |            |           |       |        |        |        |        |            |           |       |        |                        |
|12002511581|71129964691|74544401|MIDI SC35 RENGAS DENGKLOK             |Karawang (Kab)                     |                         |2023-01-02 10:14:24.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL RY RENGAS DENGKLOK RT 29 RW 06               |KEC RENGAS DENGKLOK                             |KARAWANG                                      |001999228047|000100215901617|200711299646917|            |           |       |        |10398612|15161702|20031402|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002511581|71129964691|74544402|MIDI SC35 RENGAS DENGKLOK             |Karawang (Kab)                     |                         |2023-01-02 10:14:24.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL RY RENGAS DENGKLOK RT 29 RW 06               |KEC RENGAS DENGKLOK                             |KARAWANG                                      |001999228047|000100215901617|200711299646917|            |           |       |        |10398613|15161703|20031403|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002511581|71129964691|74544403|MIDI SC35 RENGAS DENGKLOK             |Karawang (Kab)                     |                         |2023-01-02 10:14:24.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL RY RENGAS DENGKLOK RT 29 RW 06               |KEC RENGAS DENGKLOK                             |KARAWANG                                      |001999228047|000100215901617|200711299646917|            |           |       |        |10398614|15161723|20031404|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
